WorkerId,Input.object_name,Input.object_description,Answer.colour,Answer.disposition,Answer.function,Answer.height_mean,Answer.height_range,Answer.height_unit_cm.centimeters,Answer.height_unit_f.feet,Answer.height_unit_i.inches,Answer.height_unit_m.meters,Answer.height_unit_mm.millimeters,Answer.height_unit_na.na,Answer.length_mean,Answer.length_range,Answer.length_unit_cm.centimeters,Answer.length_unit_f.feet,Answer.length_unit_i.inches,Answer.length_unit_m.meters,Answer.length_unit_mm.millimeters,Answer.length_unit_na.na,Answer.location,Answer.material,Answer.pattern,Answer.shape,Answer.temperature_mean,Answer.temperature_range,Answer.temperature_unit_c.celsius,Answer.temperature_unit_f.fahrenheit,Answer.temperature_unit_k.kelvin,Answer.temperature_unit_na.na,Answer.texture,Answer.value_mean,Answer.value_range,Answer.value_unit_d.US dollars,Answer.value_unit_e.euros,Answer.value_unit_na.na,Answer.value_unit_p.pounds,Answer.weight_mean,Answer.weight_range,Answer.weight_unit_g.grams,Answer.weight_unit_kg.kilograms,Answer.weight_unit_na.na,Answer.weight_unit_o.ounces,Answer.weight_unit_p.pounds,Answer.width_mean,Answer.width_range,Answer.width_unit_cm.centimeters,Answer.width_unit_f.feet,Answer.width_unit_i.inches,Answer.width_unit_m.meters,Answer.width_unit_mm.millimeters,Answer.width_unit_na.na,Answer.height_unit,Answer.length_unit,Answer.temperature_unit,Answer.value_unit,Answer.weight_unit,Answer.width_unit,Answer.texture_cleaned,Answer.colour_cleaned,Answer.material_cleaned,Answer.shape_cleaned,Answer.pattern_cleaned,Answer.location_cleaned,Answer.disposition_cleaned
A18VKNAFFSX1QK,person,a human being,"Not applicable (people come in a wide range of skin tones, hair colors, eye colors, etc.)","Friendly, thoughtful, curious, energetic, kind","To engage in activities like walking, talking, thinking, working, socializing.",na,3.0,false,false,false,false,false,true,na,na,false,false,false,false,false,true,"Kitchen, bedroom, living room, outdoors, office","Organic (flesh, bones), clothing materials (cotton, wool, synthetic)","Plain (e.g., plain skin), striped (e.g., clothing patterns), polka dots",Cylindrical (due to the torso and limbs),98.6,1.0,false,true,false,false,"Smooth (skin), soft (hair, clothing)",na,na,false,false,true,false,137.0,na,false,false,false,false,true,na,na,false,false,false,false,false,true,na,na,fahrenheit,na,pounds,na,[],[],[],['cylindrical'],['striped'],"['bedroom', 'kitchen', 'office']","['curious', 'friendly']"
A31T0K5B0S5UVT,person,a human being,"Skin tones (beige, brown, pink, black, white, olive), hair colors (brown, black, blonde, red, grey), eye colors (blue, brown, green, hazel)","Emotional, intelligent, social, adaptable, curious, vulnerable, resilient, complex, communicative, active","Living, thinking, communicating, working, learning, creating, interacting, reproducing, consuming, moving",25.0,8.0,true,false,false,false,false,false,170.0,15.0,true,false,false,false,false,false,"Homes, offices, streets, schools, stores, parks, vehicles, literally anywhere on Earth","Skin, bone, muscle, hair, blood, water (biological materials), varied (clothing materials: cotton, wool, synthetic)","Skin texture, hair growth patterns, freckles, wrinkles, clothing patterns (stripes, solids, prints)","Bipedal, upright, humanoid, varied (slender, muscular, rounded)",37.0,1.0,true,false,false,false,"Smooth (skin), soft (hair, clothes), rough (skin on hands/feet), varied (clothing materials)",na,na,false,false,true,false,70.0,20.0,false,true,false,false,false,45.0,10.0,true,false,false,false,false,false,centimeters,centimeters,celsius,na,kilograms,centimeters,[],"['black', 'blue', 'green', 'grey', 'pink', 'red', 'seal brown', 'white']","['bone', 'hair', 'skin', 'water']",['humanoid'],[],[],"['communicative', 'complex', 'curious', 'emotional', 'intelligent', 'resilient', 'social', 'vulnerable']"
A3MD7YLJ08ABVI,person,a human being,"Skin tones ranging from very light to very dark, hair colors black, brown, blonde, red, gray.","Varies widely can be fragile, durable, emotional, social, intelligent, adaptable.","To think, communicate, work, move, learn, create, build relationships, and interact with the environment.",170.0,10.0,true,false,false,false,false,false,na,na,false,false,false,false,false,true,"Anywhere  home, office, streets, parks, schools, hospitals, etc.","Organic skin, bone, muscle, hair, nails no artificial materials unless augmented.","Plain or patterned clothing; natural freckles, moles, or tattoos on skin.",Generally cylindrical or humanoid torso limbs.,37.0,0.5,true,false,false,false,"Skin: smooth, sometimes rough; hair: coarse, curly, or straight; clothing adds various textures.",na,na,false,false,true,false,70.0,15.0,false,true,false,false,false,40.0,10.0,true,false,false,false,false,false,centimeters,na,celsius,na,kilograms,centimeters,[],"['black', 'grey', 'red', 'seal brown']","['bone', 'hair', 'skin']","['cylindrical', 'humanoid']",[],['office'],"['durable', 'emotional', 'fragile', 'intelligent', 'social']"
A2BXWKIW1VOHI9,bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,Red,Durable,na,4.0,na,true,false,false,false,false,false,6.0,na,true,false,false,false,false,false,Garage,Metal,Stripe,Rectangular,na,na,false,false,false,true,Smooth,10.0,na,true,false,false,false,40.0,na,false,true,false,false,false,4.0,na,true,false,false,false,false,false,centimeters,centimeters,na,US dollars,kilograms,centimeters,[],['red'],['metal'],['rectangle'],[],['garage'],['durable']
A17F4QRBAJR29E,bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,"red, blue, black, silver, white, green, yellow, gray","durable, water-resistant, sturdy, repairable","transportation, exercise, recreation, commuting, sport",1.0,0.2,false,false,false,true,false,false,1.7,0.2,false,false,false,true,false,false,"garage, street, sidewalk, bike rack, school, park, backyard, shed","metal (aluminum, steel, carbon fiber), plastic (handle grips, pedals), rubber (tires), leather/synthetic (seat)","plain, striped, logo/branded decals","rectangular (frame structure), cylindrical (handlebars, wheels, tubes), circular (wheels)",na,na,false,false,false,true,"smooth (frame, tires), rough (treaded tires, pedals)",500.0,300.0,true,false,false,false,12.0,4.0,false,true,false,false,false,0.6,0.1,false,false,false,true,false,false,meters,meters,na,US dollars,kilograms,meters,[],"['black', 'blue', 'green', 'grey', 'red', 'silver', 'white', 'yellow']","['leather', 'metal', 'plastic', 'rubber']","['circular', 'cylindrical', 'rectangle', 'wheel']",['striped'],"['garage', 'park', 'shed', 'street']","['durable', 'repairable', 'sturdy', 'water-resistant']"
AKIMAHJYE4FRX,bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,"Red, blue, silver, black, white, green, yellow, na","Durable, lightweight, weather-resistant, na","To transport a person, to exercise, to commute, for recreation, for racing, na",1.0,0.15,false,false,false,true,false,false,1.75,0.15,false,false,false,true,false,false,"Garage, sidewalk, street, bike rack, shed, park, school, na","Metal (aluminum, steel, titanium), carbon fiber, rubber (tires), plastic (pedals or accessories), leather (seat), na","Plain, striped, logo/brand decals, patterned paint jobs, na","Cylindrical (frame tubes), circular (wheels), triangular (frame geometry), na",na,na,false,false,false,true,"Smooth (metal frame), rough (tires, pedal grip), na",500.0,300.0,true,false,false,false,12.0,3.0,false,true,false,false,false,0.6,0.1,false,false,false,true,false,false,meters,meters,na,US dollars,kilograms,meters,[],"['black', 'blue', 'green', 'red', 'silver', 'white', 'yellow']","['leather', 'metal', 'plastic', 'rubber']","['circular', 'cylindrical', 'wheel']",['striped'],"['garage', 'park', 'shed', 'street']","['durable', 'lightweight', 'weather-resistant']"
AC84VXT9HOV7A,car,a motor vehicle with four wheels and usually propelled by an internal combustion engine,"black,grTypical colors of a car: black, grey, white, blue, red, silverey","durable, tough, water-resistant, heat-tolerant","to transport people or goods, to commute, to travel",1.5,0.3,false,false,false,true,false,false,4.5,0.5,false,false,false,true,false,false,"garage, driveway, street, parking lot, road","metal, plastic, glass, rubber, leather (interior)","plain, striped (racing cars), checkered (taxis), logos","rectangular, cylindrical (wheels), aerodynamic",25.0,20.0,true,false,false,false,"smooth (body), rough (tires)",30000.0,15000.0,true,false,false,false,1500.0,300.0,false,true,false,false,false,1.8,0.2,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,[],"['black', 'blue', 'grey', 'red', 'white']","['glass', 'leather', 'metal', 'plastic', 'rubber']","['cylindrical', 'rectangle', 'wheel']",['striped'],"['driveway', 'garage', 'street']","['durable', 'tough', 'water-resistant']"
AP1X9B8AFFE7C,car,a motor vehicle with four wheels and usually propelled by an internal combustion engine,"White, black, silver, grey, blue,","Mobile, independent, personal, versatile, complex, durable, noisy .engine, fuel-consuming, relatively safe .with modern features., sometimes luxurious or utilitarian","Personal transportation, commuting, travel, carrying passengers, carrying cargo, recreation, racing, off-roading, commercial delivery",1.5,0.3,false,false,false,true,false,false,4.5,1.5,false,false,false,true,false,false,"Roads, highways, parking lots, garages, driveways, car dealerships, repair shops, gas stations","Steel, aluminum, plastic, rubber, glass, copper (wiring), various fabrics and leathers","Manufacturer logos, grilles, wheel designs, tire treads, headlight/taillight arrangements, window outlines, license plates, racing stripes","Streamlined, rounded, boxy .older models, some SUVs, compact, elongated .sedans, limousines., hatchback, coupe, SUV, truck",na,na,true,false,false,false,"Smooth .painted metal, glass), rubbery .tires, seals, textured .plastic trim, dashboard., fabric/leather .",35000.0,25000.0,true,false,false,false,1500.0,500.0,false,true,false,false,false,1.8,0.3,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,[],"['black', 'blue', 'grey', 'silver', 'white']","['glass', 'plastic', 'rubber']",[],[],[],"['complex', 'durable', 'independent', 'noisy', 'personal', 'safe', 'utilitarian', 'versatile']"
A7NIY2KI0R6TX,car,a motor vehicle with four wheels and usually propelled by an internal combustion engine,"Black, white, silver, grey, blue, red","Fast, powerful, efficient (some models), comfortable, reliable, noisy (some models), independent, automated, personal","Transportation, commuting, travel, racing, leisure, hauling (small amounts), personal mobility",1.5,0.2,false,false,false,true,false,false,4.5,0.8,false,false,false,true,false,false,"Road, highway, parking lot, garage, driveway, dealership, street","Steel, aluminum, plastic, rubber, glass, various fabrics/leather (interior)","Solid color, pinstripes, two-tone (some models), grille patterns, window shapes","Sedan, SUV, hatchback, coupe, rounded, sleek, boxy (older models)",25.0,50.0,true,false,false,false,"Smooth, glossy (painted metal), metallic, rubbery (tires), glass (windows), plastic (bumpers, interior)",30000.0,20000.0,true,false,false,false,1500.0,500.0,false,true,false,false,false,1.8,0.3,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,[],"['black', 'blue', 'grey', 'red', 'silver', 'white']","['glass', 'leather', 'plastic', 'rubber']",[],[],"['driveway', 'garage', 'highway', 'street']","['automated', 'comfortable', 'efficient', 'fast', 'independent', 'noisy', 'personal', 'powerful', 'reliable']"
A1C0ODGIXKG3U9,motorcycle,a motor vehicle with two wheels and a strong frame,"Red, black, blue, white, silver.","Agile, fast, powerful, nimble, loud some models, adventurous, exciting, potentially dangerous.","Transportation, commuting, recreation, racing, touring, off-road riding, delivery, law enforcement.",1.2,0.2,false,false,false,true,false,false,2.1,0.3,false,false,false,true,false,false,"Roads, highways, garages, parking lots, showrooms, racetracks.","Steel, aluminum, plastic, rubber, carbon fiber, leather seats, glass headlight lens, various alloys.","Stripes, checkered flags, logos, racing numbers, flames, abstract designs, tread patterns on tires, diamond stitching on seats.","Streamlined, aerodynamic, angular, compact.",70.0,30.0,true,false,false,false,"Smooth painted surfaces, metallic engine parts, exhaust, rubber.",12000.0,8000.0,true,false,false,false,200.0,75.0,false,true,false,false,false,0.8,0.2,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,[],"['black', 'blue', 'red', 'silver', 'white']","['glass', 'leather', 'plastic', 'rubber']",[],[],[],"['agile', 'fast', 'powerful']"
