model,definition,emotion,activity_var,activity_pval,activity_significant,arousal_var,arousal_pval,arousal_significant,dominance_var,dominance_pval,dominance_significant,evaluation_var,evaluation_pval,evaluation_significant,pleasure_var,pleasure_pval,pleasure_significant,potency_var,potency_pval,potency_significant,unpredictability_var,unpredictability_pval,unpredictability_significant,valence_var,valence_pval,valence_significant
groq_llama-4-maverick-17b-128e-instruct,cambridge,acceptance,0.00024999999999999984,1.0,False,0.0,1.0,False,8.109178713209414e-34,1.0,False,0.0,1.0,False,0.0,1.0,False,7.378205128205135e-05,1.0,False,0.0017378947368421054,0.9999765414986076,False,0.0,1.0,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,admiration,0.0013076923076923075,0.999999999986053,False,0.0,1.0,False,8.109178713209414e-34,1.0,False,0.00025000000000000055,1.0,False,0.0019736842105263193,0.9999356358048825,False,0.002538461538461537,0.9999993970936654,False,3.2436714852837655e-33,1.0,False,0.0016842105263157922,0.9999817785970404,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,aggressiveness,0.0014807692307692334,0.9999999998855371,False,0.0007115384615384627,0.9999999999999997,False,1.2974685941135062e-32,1.0,False,0.0,1.0,False,0.0023947368421052676,0.9997166068742797,False,0.0,1.0,False,1.2974685941135062e-32,1.0,False,1.2974685941135062e-32,1.0,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,amazement,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0017884615384615393,0.9999999974195276,False,1.2974685941135062e-32,1.0,False,0.0,1.0,False,1.2974685941135062e-32,1.0,False,0.0019736842105263193,0.9999356358048825,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,anger,0.0,1.0,False,0.0,1.0,False,0.023026315789473683,0.0010225622641992782,True,0.0,1.0,False,1.2974685941135062e-32,1.0,False,0.0011217948717948737,0.9999999999990119,False,1.2974685941135062e-32,1.0,False,1.2974685941135062e-32,1.0,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,annoyance,0.0019230769230769219,0.9999999917037999,False,0.0007115384615384612,0.9999999999999997,False,0.002,0.9999286091739084,False,0.0014807692307692334,0.9999999998855371,False,1.2974685941135062e-32,1.0,False,0.001476346153846153,0.9999999998911403,False,0.0029923684210526294,0.9985739860464937,False,0.002210526315789478,0.9998453076354616,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,anticipation,0.0,1.0,False,0.0,1.0,False,8.109178713209414e-34,1.0,False,0.0009999999999999994,0.9999999999998684,False,1.2974685941135062e-32,1.0,False,0.0,1.0,False,3.2436714852837655e-33,1.0,False,1.2974685941135062e-32,1.0,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,apprehension,0.00024999999999999984,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0019230769230769262,0.9999999917037999,False,1.2974685941135062e-32,1.0,False,0.001971217948717949,0.999999987700648,False,4.4999999999999745e-05,1.0,False,0.0016842105263157928,0.9999817785970404,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,awe,0.00025000000000000055,1.0,False,0.0002500000000000005,1.0,False,0.012105263157894735,0.2373418008290008,False,0.0,1.0,False,1.2974685941135062e-32,1.0,False,0.0,1.0,False,0.0005000000000000009,0.9999999995124892,False,0.0019999999999999996,0.9999286091739084,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,boredom,0.0,1.0,False,0.0004871794871794869,1.0,False,0.0,1.0,False,0.0009230769230769246,0.9999999999999681,False,1.2974685941135062e-32,1.0,False,0.0,1.0,False,0.000947368421052631,0.9999998558885841,False,0.0067368421052631565,0.8486502597631088,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,contempt,0.0014807692307692334,0.9999999998855371,False,0.00048717948717948807,1.0,False,0.010105263157894733,0.44407500899199903,False,0.0,1.0,False,1.2974685941135062e-32,1.0,False,0.0,1.0,False,1.2974685941135062e-32,1.0,False,1.2974685941135062e-32,1.0,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,disappointment,0.0043525641025641,0.9991764427586971,False,0.0007115384615384613,0.9999999999999997,False,0.0,1.0,False,0.0024038461538461583,0.9999997334474008,False,1.2974685941135062e-32,1.0,False,0.0002500000000000001,1.0,False,0.0013421052631578938,0.9999971827950903,False,0.0023947368421052676,0.9997166068742797,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,disgust,0.00048717948717948807,1.0,False,0.0019230769230769262,0.9999999917037999,False,0.0037894736842105274,0.9930682402617554,False,0.0,1.0,False,1.2974685941135062e-32,1.0,False,0.00025000000000000055,1.0,False,0.0009473684210526313,0.9999998558885841,False,1.2974685941135062e-32,1.0,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,distraction,0.0033269230769230763,0.9999720469704175,False,0.0011217948717948724,0.9999999999990119,False,0.0,1.0,False,0.0015384615384615387,0.9999999997831165,False,0.0016842105263157924,0.9999817785970404,False,0.003487179487179489,0.9999477160701903,False,1.2974685941135062e-32,1.0,False,0.008842105263157894,0.6034153208015474,False
groq_llama-4-maverick-17b-128e-instruct,cambridge,ecstasy,0.001307692307692307,0.999999999986053,False,0.00024999999999999984,1.0,False,0.00884210526315789,0.6034153208015476,False,0.0009230769230769228,0.9999999999999681,False,0.0026315789473684197,0.9994309626474822,False,0.002538461538461537,0.9999993970936654,False,1.2974685941135062e-32,1.0,False,0.0016842105263157887,0.9999817785970404,False
