object_name,object_description,url,n_boxes,len_min,len_max,len_mean,len_std,wid_min,wid_max,wid_mean,wid_std,hei_min,hei_max,hei_mean,hei_std,properties
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,https://behavior.stanford.edu/knowledgebase/synsets/apple.n.01/index.html,13,0.04,0.13,0.08,0.023533936216582084,0.04,0.11,0.07615384615384616,0.019029718272081508,0.04,0.11,0.07461538461538463,0.017371676600978794,cookable;disinfectable;dustyable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;sliceable;stainable;stickyable;tarnishable;wetable;wrinkleable
backpack,a bag carried by a strap on your back or shoulder,https://behavior.stanford.edu/knowledgebase/synsets/backpack.n.01/,1,0.49,0.49,0.49,0.0,0.4,0.4,0.4,0.0,0.47,0.47,0.47,0.0,disinfectable;dustyable;fillable;freezable;grassyable;heatable;moldyable;nonSubstance;openable;particleRemover;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
suitcase,a portable rectangular container for carrying clothes,https://behavior.stanford.edu/knowledgebase/synsets/bag.n.06/index.html,4,0.41,0.43,0.415,0.008660254037844395,0.61,0.62,0.6124999999999999,0.004330127018922197,0.2,0.22,0.215,0.008660254037844383,disinfectable;dustyable;fillable;flammable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
sports ball,round object that is hit or thrown or kicked in games,https://behavior.stanford.edu/knowledgebase/synsets/ball.n.01/index.html,9,0.06,0.37,0.18,0.10263202878893768,0.06,0.35,0.17777777777777776,0.09863262676076509,0.06,1.43,0.29777777777777775,0.40775204278465815,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
banana,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits,https://behavior.stanford.edu/knowledgebase/synsets/banana.n.02/index.html,5,0.17,0.37,0.22400000000000003,0.0739188744503053,0.06,0.3,0.13199999999999998,0.08611620056644395,0.03,0.16,0.068,0.04791659420284376,cookable;disinfectable;dustyable;freezable;grassyable;heatable;moldyable;nonSubstance;rigidBody;rustable;scratchable;sliceable;stainable;stickyable;tarnishable;wetable;wrinkleable
baseball bat,an implement used in baseball by the batter,https://behavior.stanford.edu/knowledgebase/synsets/baseball_bat.n.01/index.html,2,0.75,0.81,0.78,0.030000000000000027,0.05,0.07,0.060000000000000005,0.010000000000000002,0.05,0.07,0.060000000000000005,0.010000000000000002,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
baseball glove,the handwear used by fielders in playing baseball,https://behavior.stanford.edu/knowledgebase/synsets/baseball_glove.n.01/index.html,1,0.33,0.33,0.33,0.0,0.24,0.24,0.24,0.0,0.1,0.1,0.1,0.0,deformable;disinfectable;dustyable;grassyable;moldyable;nonSubstance;particleRemover;rustable;scratchable;softBody;stainable;stickyable;tarnishable;wetable;wrinkleable
bed,a piece of furniture that provides a place to sleep,https://behavior.stanford.edu/knowledgebase/synsets/bed.n.01/index.html,30,1.66,2.39,2.089,0.15524926194134817,0.69,3.79,1.616,0.6503465742714931,0.6,2.5,1.0333333333333332,0.4030825666728289,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
bench,a long seat for more than one person,https://behavior.stanford.edu/knowledgebase/synsets/bench.n.01/,29,0.25,4.61,1.116206896551724,1.1732842610355843,0.98,9.15,2.677586206896552,1.9117921817019354,0.35,1.67,0.8258620689655172,0.32282713684784087,disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;sceneObject;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,https://behavior.stanford.edu/knowledgebase/synsets/bicycle.n.01/,2,1.73,1.73,1.73,0.0,1.04,1.06,1.05,0.010000000000000009,0.4,0.41,0.405,0.004999999999999977,attachable;disinfectable;dustyable;grassyable;moldyable;nonSubstance;rigidBody;rustable;scratchable;stainable;stickyable;tarnishable;wetable;wrinkleable
