object_name,object_description
person,a human being
bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals
car,a motor vehicle with four wheels and usually propelled by an internal combustion engine
motorcycle,a motor vehicle with two wheels and a strong frame
airplane,an aircraft that has a fixed wing and is powered by propellers or jets
bus,a vehicle carrying many passengers and used for public transport
train,public transport provided by a line of railway cars coupled together and drawn by a locomotive
truck,an automotive vehicle suitable for hauling
boat,a small vessel for travel on water
traffic light,a visual signal to control the flow of traffic at intersections
fire hydrant,an upright hydrant for drawing water to use in fighting a fire
stop sign,a sign visible from the street
parking meter,a coin-operated timer located next to a parking space
bench,a long seat for more than one person
bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
cat,feline mammal usually having thick soft fur and no ability to roar: domestic cats
dog,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times
horse,solid-hoofed herbivorous quadruped domesticated since prehistoric times
sheep,woolly usually horned ruminant mammal related to the goat
cow,female of domestic cattle
elephant,five-toed animal with a long trunk
bear,"Large, heavy-bodied mammals that walk flat-footed, covered in thick fur and equipped with powerful claws; most species are omnivores."
zebra,any of several fleet black-and-white striped African equines
giraffe,"tallest living quadruped which has a spotted coat and small horns and very long neck and legs
 Of savannahs of tropical Africa
"
backpack,a bag carried by a strap on your back or shoulder
umbrella,a lightweight handheld collapsible canopy
handbag,a container used for carrying money and small personal items or accessories (especially by women)
tie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front
suitcase,a portable rectangular container for carrying clothes
frisbee,"a light, plastic disk about 10 inches in diameter; propelled with a flip of the wrist for recreation or competition"
skis,narrow wood or metal or plastic runners used in pairs for gliding over snow
snowboard,a board that resembles a broad ski or a small surfboard and is used in a standing position to slide down snow-covered slopes
sports ball,round object that is hit or thrown or kicked in games
kite,plaything consisting of a light frame covered with tissue paper that is flown in wind at end of a string
baseball bat,an implement used in baseball by the batter
baseball glove,the handwear used by fielders in playing baseball
skateboard,a board with wheels that is ridden in a standing or crouching position and propelled by foot
surfboard,a narrow buoyant board for riding surf
tennis racket,a racket used to play tennis
bottle,a glass or plastic vessel used for storing drinks or other liquids
wine glass,a glass that has a stem and in which wine is served
cup,a small open container usually used for drinking
fork,cutlery used for serving and eating food
knife,edge tool used as a cutting instrument that has a pointed blade with a sharp edge and a handle
spoon,a piece of cutlery with a shallow bowl-shaped container and a handle that is used to stir or serve or take up food
bowl,a round vessel that is open at the top and is used chiefly for holding food or liquids
banana,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
sandwich,two (or more) slices of bread with a filling between them
orange,round yellow to orange fruit of any of several citrus trees
broccoli,plant with dense clusters of tight green flower buds
carrot,deep orange edible root of the cultivated carrot plant
hot dog,a frankfurter served hot on a bun
pizza,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
donut,a small ring-shaped friedcake
cake,"baked goods made from or based on a mixture of flour, sugar, eggs, and fat"
chair,"a seat for one person, with a support for the back"
couch,an upholstered seat for more than one person
potted plant,a plant suitable for growing in a flowerpot (especially indoors)
bed,a piece of furniture that provides a place to sleep
dining table,a table at which meals are served
toilet,a plumbing fixture for defecation and urination
TV,an electronic device that receives television signals and displays them on a screen
laptop,a portable computer small enough to use in your lap
mouse,a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad
remote,a device that can be used to control a machine or apparatus from a distance
keyboard,device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like
cell phone,telephony that uses transmission by radio rather than by wire
microwave,kitchen appliance that cooks food by passing an electromagnetic wave through it
oven,kitchen appliance used for baking or roasting
toaster,a kitchen appliance (usually electric) for toasting bread
sink,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
refrigerator,white goods in which food can be stored at low temperatures
book,a written work or composition that has been published (printed on pages bound together)
clock,a timepiece that shows the time of day
vase,an open jar of glass or porcelain used as an ornament or to hold flowers
scissors,an edge tool having two crossed pivoting blades
teddy bear,plaything consisting of a child's toy bear (usually plush and stuffed with soft materials)
hair drier,a hand-held electric blower that can blow warm air onto the hair and is used for styling hair
toothbrush,small brush that  has long handle and is used to clean teeth
