Input.OBJECT_NAME,Input.QUESTION_1,Input.QUESTION_2,Input.QUESTION_3,Input.QUESTION_4,Input.QUESTION_5,Input.QUESTION_6,Input.QUESTION_7,Input.QUESTION_8,Input.QUESTION_9,Input.QUESTION_10,Input.QUESTION_11,Input.QUESTION_12,Input.QUESTION_13,Input.QUESTION_14
person,What color(s) are a typical person?,What shape is a typical person?,Where is a person usually found?,What is the typical texture of a person?,What material is a person usually made of?,What pattern (if any) is common on a person?,In what scenarios is a person typically used?,In what contexts do person appear?,What is the typical function of a person?,What is the typical disposition of a person?,What is the typical length of a person (in cm)?,What is the typical width of a person (in cm)?,What is the typical height of a person (in cm)?,What is the typical weight of a person (in kg)?
bicycle,What color(s) are a typical bicycle?,What shape is a typical bicycle?,Where is a bicycle usually found?,What is the typical texture of a bicycle?,What material is a bicycle usually made of?,What pattern (if any) is common on a bicycle?,In what scenarios is a bicycle typically used?,In what contexts do bicycle appear?,What is the typical function of a bicycle?,What is the typical disposition of a bicycle?,What is the typical length of a bicycle (in cm)?,What is the typical width of a bicycle (in cm)?,What is the typical height of a bicycle (in cm)?,What is the typical weight of a bicycle (in kg)?
car,What color(s) are a typical car?,What shape is a typical car?,Where is a car usually found?,What is the typical texture of a car?,What material is a car usually made of?,What pattern (if any) is common on a car?,In what scenarios is a car typically used?,In what contexts do car appear?,What is the typical function of a car?,What is the typical disposition of a car?,What is the typical length of a car (in cm)?,What is the typical width of a car (in cm)?,What is the typical height of a car (in cm)?,What is the typical weight of a car (in kg)?
motorcycle,What color(s) are a typical motorcycle?,What shape is a typical motorcycle?,Where is a motorcycle usually found?,What is the typical texture of a motorcycle?,What material is a motorcycle usually made of?,What pattern (if any) is common on a motorcycle?,In what scenarios is a motorcycle typically used?,In what contexts do motorcycle appear?,What is the typical function of a motorcycle?,What is the typical disposition of a motorcycle?,What is the typical length of a motorcycle (in cm)?,What is the typical width of a motorcycle (in cm)?,What is the typical height of a motorcycle (in cm)?,What is the typical weight of a motorcycle (in kg)?
airplane,What color(s) are a typical airplane?,What shape is a typical airplane?,Where is a airplane usually found?,What is the typical texture of a airplane?,What material is a airplane usually made of?,What pattern (if any) is common on a airplane?,In what scenarios is a airplane typically used?,In what contexts do airplane appear?,What is the typical function of a airplane?,What is the typical disposition of a airplane?,What is the typical length of a airplane (in cm)?,What is the typical width of a airplane (in cm)?,What is the typical height of a airplane (in cm)?,What is the typical weight of a airplane (in kg)?
bus,What color(s) are a typical bus?,What shape is a typical bus?,Where is a bus usually found?,What is the typical texture of a bus?,What material is a bus usually made of?,What pattern (if any) is common on a bus?,In what scenarios is a bus typically used?,In what contexts do bus appear?,What is the typical function of a bus?,What is the typical disposition of a bus?,What is the typical length of a bus (in cm)?,What is the typical width of a bus (in cm)?,What is the typical height of a bus (in cm)?,What is the typical weight of a bus (in kg)?
train,What color(s) are a typical train?,What shape is a typical train?,Where is a train usually found?,What is the typical texture of a train?,What material is a train usually made of?,What pattern (if any) is common on a train?,In what scenarios is a train typically used?,In what contexts do train appear?,What is the typical function of a train?,What is the typical disposition of a train?,What is the typical length of a train (in cm)?,What is the typical width of a train (in cm)?,What is the typical height of a train (in cm)?,What is the typical weight of a train (in kg)?
truck,What color(s) are a typical truck?,What shape is a typical truck?,Where is a truck usually found?,What is the typical texture of a truck?,What material is a truck usually made of?,What pattern (if any) is common on a truck?,In what scenarios is a truck typically used?,In what contexts do truck appear?,What is the typical function of a truck?,What is the typical disposition of a truck?,What is the typical length of a truck (in cm)?,What is the typical width of a truck (in cm)?,What is the typical height of a truck (in cm)?,What is the typical weight of a truck (in kg)?
boat,What color(s) are a typical boat?,What shape is a typical boat?,Where is a boat usually found?,What is the typical texture of a boat?,What material is a boat usually made of?,What pattern (if any) is common on a boat?,In what scenarios is a boat typically used?,In what contexts do boat appear?,What is the typical function of a boat?,What is the typical disposition of a boat?,What is the typical length of a boat (in cm)?,What is the typical width of a boat (in cm)?,What is the typical height of a boat (in cm)?,What is the typical weight of a boat (in kg)?
traffic light,What color(s) are a typical traffic light?,What shape is a typical traffic light?,Where is a traffic light usually found?,What is the typical texture of a traffic light?,What material is a traffic light usually made of?,What pattern (if any) is common on a traffic light?,In what scenarios is a traffic light typically used?,In what contexts do traffic light appear?,What is the typical function of a traffic light?,What is the typical disposition of a traffic light?,What is the typical length of a traffic light (in cm)?,What is the typical width of a traffic light (in cm)?,What is the typical height of a traffic light (in cm)?,What is the typical weight of a traffic light (in kg)?
fire hydrant,What color(s) are a typical fire hydrant?,What shape is a typical fire hydrant?,Where is a fire hydrant usually found?,What is the typical texture of a fire hydrant?,What material is a fire hydrant usually made of?,What pattern (if any) is common on a fire hydrant?,In what scenarios is a fire hydrant typically used?,In what contexts do fire hydrant appear?,What is the typical function of a fire hydrant?,What is the typical disposition of a fire hydrant?,What is the typical length of a fire hydrant (in cm)?,What is the typical width of a fire hydrant (in cm)?,What is the typical height of a fire hydrant (in cm)?,What is the typical weight of a fire hydrant (in kg)?
stop sign,What color(s) are a typical stop sign?,What shape is a typical stop sign?,Where is a stop sign usually found?,What is the typical texture of a stop sign?,What material is a stop sign usually made of?,What pattern (if any) is common on a stop sign?,In what scenarios is a stop sign typically used?,In what contexts do stop sign appear?,What is the typical function of a stop sign?,What is the typical disposition of a stop sign?,What is the typical length of a stop sign (in cm)?,What is the typical width of a stop sign (in cm)?,What is the typical height of a stop sign (in cm)?,What is the typical weight of a stop sign (in kg)?
parking meter,What color(s) are a typical parking meter?,What shape is a typical parking meter?,Where is a parking meter usually found?,What is the typical texture of a parking meter?,What material is a parking meter usually made of?,What pattern (if any) is common on a parking meter?,In what scenarios is a parking meter typically used?,In what contexts do parking meter appear?,What is the typical function of a parking meter?,What is the typical disposition of a parking meter?,What is the typical length of a parking meter (in cm)?,What is the typical width of a parking meter (in cm)?,What is the typical height of a parking meter (in cm)?,What is the typical weight of a parking meter (in kg)?
