experiment_type,model,concept,file,total_rows,failed_rows,failure_rate
context,llava_7b_standard,mouse,mouse.json,20,6,0.3
context,llava_7b_standard,potted plant,potted plant.json,20,8,0.4
context,llava_7b_standard,boat,boat.json,20,6,0.3
context,llava_7b_standard,sports ball,sports ball.json,20,5,0.25
context,llava_7b_standard,refrigerator,refrigerator.json,20,4,0.2
context,llava_7b_standard,wine glass,wine glass.json,20,6,0.3
context,llava_7b_standard,bicycle,bicycle.json,20,4,0.2
context,llava_7b_standard,knife,knife.json,20,1,0.05
context,llava_7b_standard,sheep,sheep.json,20,7,0.35
context,llava_7b_standard,umbrella,umbrella.json,20,7,0.35
context,llava_7b_standard,snowboard,snowboard.json,20,9,0.45
context,llava_7b_standard,donut,donut.json,20,6,0.3
context,llava_7b_standard,cake,cake.json,20,6,0.3
context,llava_7b_standard,fork,fork.json,20,8,0.4
context,llava_7b_standard,couch,couch.json,20,5,0.25
context,llava_7b_standard,giraffe,giraffe.json,20,3,0.15
context,llava_7b_standard,kite,kite.json,20,8,0.4
context,llava_7b_standard,banana,banana.json,20,4,0.2
context,llava_7b_standard,bowl,bowl.json,20,3,0.15
context,llava_7b_standard,book,book.json,20,8,0.4
context,llava_7b_standard,spoon,spoon.json,20,3,0.15
context,llava_7b_standard,toilet,toilet.json,20,5,0.25
context,llava_7b_standard,toothbrush,toothbrush.json,20,11,0.55
context,llava_7b_standard,orange,orange.json,20,4,0.2
context,llava_7b_standard,person,person.json,20,5,0.25
context,llava_7b_standard,TV,TV.json,20,8,0.4
context,llava_7b_standard,baseball bat,baseball bat.json,20,8,0.4
context,llava_7b_standard,surfboard,surfboard.json,20,4,0.2
context,llava_7b_standard,oven,oven.json,20,8,0.4
context,llava_7b_standard,clock,clock.json,20,8,0.4
context,llava_7b_standard,fire hydrant,fire hydrant.json,20,9,0.45
context,llava_7b_standard,keyboard,keyboard.json,20,4,0.2
context,llava_7b_standard,car,car.json,20,5,0.25
context,llava_7b_standard,apple,apple.json,20,1,0.05
context,llava_7b_standard,motorcycle,motorcycle.json,20,12,0.6
context,llava_7b_standard,zebra,zebra.json,20,9,0.45
context,llava_7b_standard,cup,cup.json,20,5,0.25
context,llava_7b_standard,scissors,scissors.json,20,4,0.2
context,llava_7b_standard,horse,horse.json,20,6,0.3
context,llava_7b_standard,chair,chair.json,20,8,0.4
context,llava_7b_standard,microwave,microwave.json,20,6,0.3
context,llava_7b_standard,cell phone,cell phone.json,20,6,0.3
context,llava_7b_standard,traffic light,traffic light.json,20,3,0.15
context,llava_7b_standard,hair drier,hair drier.json,20,7,0.35
context,llava_7b_standard,bench,bench.json,20,6,0.3
context,llava_7b_standard,tie,tie.json,20,7,0.35
context,llava_7b_standard,broccoli,broccoli.json,20,7,0.35
context,llava_7b_standard,bird,bird.json,20,4,0.2
context,llava_7b_standard,backpack,backpack.json,20,3,0.15
context,llava_7b_standard,frisbee,frisbee.json,20,7,0.35
context,llava_7b_standard,suitcase,suitcase.json,20,9,0.45
context,llava_7b_standard,skateboard,skateboard.json,20,3,0.15
context,llava_7b_standard,baseball glove,baseball glove.json,20,10,0.5
context,llava_7b_standard,sandwich,sandwich.json,20,6,0.3
context,llava_7b_standard,dining table,dining table.json,20,9,0.45
context,llava_7b_standard,hot dog,hot dog.json,20,5,0.25
context,llava_7b_standard,dog,dog.json,20,6,0.3
context,llava_7b_standard,cat,cat.json,20,7,0.35
context,llava_7b_standard,elephant,elephant.json,20,6,0.3
context,llava_7b_standard,cow,cow.json,20,4,0.2
context,llava_7b_standard,bus,bus.json,20,8,0.4
context,llava_7b_standard,laptop,laptop.json,20,10,0.5
context,llava_7b_standard,toaster,toaster.json,20,7,0.35
context,llava_7b_standard,stop sign,stop sign.json,20,10,0.5
context,llava_7b_standard,bear,bear.json,20,10,0.5
context,llava_7b_standard,remote,remote.json,20,9,0.45
context,llava_7b_standard,sink,sink.json,20,7,0.35
context,llava_7b_standard,airplane,airplane.json,20,6,0.3
context,llava_7b_standard,vase,vase.json,20,3,0.15
context,llava_7b_standard,parking meter,parking meter.json,20,6,0.3
context,llava_7b_standard,carrot,carrot.json,20,1,0.05
context,llava_7b_standard,pizza,pizza.json,20,5,0.25
context,llava_7b_standard,bed,bed.json,20,4,0.2
context,llava_7b_standard,truck,truck.json,20,2,0.1
context,llava_7b_standard,skis,skis.json,20,7,0.35
context,llava_7b_standard,train,train.json,20,11,0.55
context,llava_7b_standard,handbag,handbag.json,20,5,0.25
context,llava_7b_standard,bottle,bottle.json,20,5,0.25
context,llava_7b_standard,teddy bear,teddy bear.json,20,6,0.3
context,llava_7b_standard,tennis racket,tennis racket.json,20,6,0.3
context,deepseekr1llama_70b_distill,mouse,mouse.json,20,0,0.0
context,deepseekr1llama_70b_distill,potted plant,potted plant.json,20,0,0.0
context,deepseekr1llama_70b_distill,boat,boat.json,20,0,0.0
context,deepseekr1llama_70b_distill,refrigerator,refrigerator.json,20,0,0.0
context,deepseekr1llama_70b_distill,wine glass,wine glass.json,20,0,0.0
context,deepseekr1llama_70b_distill,bicycle,bicycle.json,20,0,0.0
context,deepseekr1llama_70b_distill,knife,knife.json,20,0,0.0
context,deepseekr1llama_70b_distill,sheep,sheep.json,20,0,0.0
context,deepseekr1llama_70b_distill,umbrella,umbrella.json,20,0,0.0
context,deepseekr1llama_70b_distill,donut,donut.json,20,0,0.0
context,deepseekr1llama_70b_distill,cake,cake.json,20,0,0.0
context,deepseekr1llama_70b_distill,fork,fork.json,20,0,0.0
context,deepseekr1llama_70b_distill,couch,couch.json,20,0,0.0
context,deepseekr1llama_70b_distill,giraffe,giraffe.json,20,0,0.0
context,deepseekr1llama_70b_distill,kite,kite.json,1,0,0.0
context,deepseekr1llama_70b_distill,banana,banana.json,20,0,0.0
context,deepseekr1llama_70b_distill,bowl,bowl.json,20,0,0.0
context,deepseekr1llama_70b_distill,book,book.json,20,0,0.0
context,deepseekr1llama_70b_distill,spoon,spoon.json,20,0,0.0
context,deepseekr1llama_70b_distill,toilet,toilet.json,20,0,0.0
context,deepseekr1llama_70b_distill,toothbrush,toothbrush.json,20,0,0.0
context,deepseekr1llama_70b_distill,orange,orange.json,20,0,0.0
context,deepseekr1llama_70b_distill,person,person.json,20,0,0.0
context,deepseekr1llama_70b_distill,TV,TV.json,20,0,0.0
context,deepseekr1llama_70b_distill,baseball bat,baseball bat.json,1,0,0.0
context,deepseekr1llama_70b_distill,surfboard,surfboard.json,1,0,0.0
context,deepseekr1llama_70b_distill,oven,oven.json,20,0,0.0
context,deepseekr1llama_70b_distill,clock,clock.json,20,0,0.0
context,deepseekr1llama_70b_distill,fire hydrant,fire hydrant.json,20,0,0.0
context,deepseekr1llama_70b_distill,keyboard,keyboard.json,20,0,0.0
context,deepseekr1llama_70b_distill,car,car.json,20,0,0.0
context,deepseekr1llama_70b_distill,apple,apple.json,20,0,0.0
context,deepseekr1llama_70b_distill,motorcycle,motorcycle.json,20,0,0.0
context,deepseekr1llama_70b_distill,zebra,zebra.json,20,0,0.0
context,deepseekr1llama_70b_distill,cup,cup.json,20,1,0.05
context,deepseekr1llama_70b_distill,scissors,scissors.json,20,0,0.0
context,deepseekr1llama_70b_distill,horse,horse.json,20,0,0.0
context,deepseekr1llama_70b_distill,chair,chair.json,20,0,0.0
context,deepseekr1llama_70b_distill,microwave,microwave.json,20,0,0.0
context,deepseekr1llama_70b_distill,cell phone,cell phone.json,20,0,0.0
context,deepseekr1llama_70b_distill,traffic light,traffic light.json,20,0,0.0
context,deepseekr1llama_70b_distill,hair drier,hair drier.json,20,0,0.0
context,deepseekr1llama_70b_distill,bench,bench.json,20,0,0.0
context,deepseekr1llama_70b_distill,tie,tie.json,20,0,0.0
context,deepseekr1llama_70b_distill,broccoli,broccoli.json,20,0,0.0
context,deepseekr1llama_70b_distill,bird,bird.json,20,0,0.0
context,deepseekr1llama_70b_distill,backpack,backpack.json,20,0,0.0
context,deepseekr1llama_70b_distill,frisbee,frisbee.json,20,0,0.0
context,deepseekr1llama_70b_distill,suitcase,suitcase.json,20,0,0.0
context,deepseekr1llama_70b_distill,skateboard,skateboard.json,1,0,0.0
context,deepseekr1llama_70b_distill,baseball glove,baseball glove.json,1,0,0.0
context,deepseekr1llama_70b_distill,sandwich,sandwich.json,20,0,0.0
context,deepseekr1llama_70b_distill,dining table,dining table.json,20,0,0.0
