client,concept,domain,measurement,dimension,format,response,model_name,condition,response_ok_syntax,response_ok_semantics,response_error_type
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of the mouse is relevant as it affects its ergonomics and design.""
  },
  ""function"": {
    ""value"": true,
    ""reason"": ""The function of the mouse as a device to control the cursor on a computer",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a mouse is relevant as it typically has a standardized form (usually rounded) for ergonomic and functional purposes.""
  },
  ""location"": {
    ""value"": true,
    ""reason"": ""Location is always relevant as",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of the mouse helps to identify its ergonomic design and functionality.""
  },
  ""material"": {
    ""value"": true,
    ""reason"": ""Material gives information about the mouse's durability and feel, which can affect user",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse with description: (which is a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad)"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of the",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse with description"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of the mouse is relevant as it influences how the user interacts with it and moves the cursor on the screen.""
  },
  ""function"": {
    ""value"": true,
    ""reason"": ""The function of the mouse",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a mouse is relevant as it impacts usability and functionality.""
  },
  ""material"": {
    ""value"": true,
    ""reason"": ""Material is relevant for understanding the construction and durability of the mouse.""
  },",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a mouse is relevant as it relates to its ergonomic design and ease of use.""
  },
  ""location"": {
    ""value"": true,
    ""reason"": ""Location is always relevant as it helps contextualize the",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse with description"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of the mouse, including its buttons and overall form, is relevant for understanding its design and ergonomics.""
  },
  ""material"": {
    ""value"": true,
    ""reason"": ""Material indicates the construction of the mouse",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse with description: (which is a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad)"",
  ""function"": {
    ""value"": true,
    ""reason"": ""The primary function of",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of the mouse helps in identifying its design and ergonomic features.""
  },
  ""function"": {
    ""value"": true,
    ""reason"": ""The function of a mouse is to control the cursor on a computer screen, which",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse with description"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of the mouse is relevant as it contributes to its design and functionality in controlling a cursor.""
  },
  ""location"": {
    ""value"": true,
    ""reason"": ""Location is universally relevant across all concepts,",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of the mouse is important for its ergonomics and functionality.""
  },
  ""function"": {
    ""value"": true,
    ""reason"": ""The function of the mouse as a device to control the cursor on a computer screen is essential",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a mouse is relevant as it typically has a rounded, ergonomic design to fit comfortably in the user's hand.""
  },
  ""location"": {
    ""value"": true,
    ""reason"": ""Location is always relevant",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse with description"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of the mouse helps in identifying its design and ergonomics for hand operation.""
  },
  ""material"": {
    ""value"": true,
    ""reason"": ""Material is relevant as it pertains to the construction and",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse with description"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of the mouse is relevant as it affects ergonomics and control precision.""
  },
  ""material"": {
    ""value"": true,
    ""reason"": ""Material indicates the quality and durability of the mouse, which affect",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse with description"",
  ""function"": {
    ""value"": true,
    ""reason"": ""A mouse's primary function is to control the cursor on the computer screen, which is essential for its identification and use.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a mouse is",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a mouse is relevant as it affects the user's interaction and the ergonomics of the device.""
  },
  ""location"": {
    ""value"": true,
    ""reason"": ""Location is always relevant as it helps context",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of the mouse is relevant as it affects the comfort and usability for the user.""
  },
  ""location"": {
    ""value"": true,
    ""reason"": ""Location is universally relevant across all concepts as it helps understand where",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a mouse is relevant for its functionality and ergonomic design.""
  },
  ""function"": {
    ""value"": true,
    ""reason"": ""The function of a mouse as a device to control cursor movement is essential to its purpose",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,mouse,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""mouse with description"",
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of the mouse helps in identifying its ergonomic design and compatibility with hand usage.""
  },
  ""function"": {
    ""value"": true,
    ""reason"": ""The function of the mouse is crucial as it describes",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour helps in identifying and distinguishing potted plants, which is important for both aesthetics and botanical classification.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is relevant as it can describe the pot and the plant's growth habit, which is useful for understanding its care requirements.""
  },
 ",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour is universally relevant as it helps in identifying and distinguishing the potted plant.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is important in characterizing the physical form of the potted plant, which is relevant for aesthetic and practical purposes.""
  },
  ""location"": {
   ",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant with description: (which is a plant suitable for growing in a flowerpot (especially indoors))"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour is universally relevant as it helps identify and categorize the potted plant.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape contributes to the visual identification and aesthetic appreciation of the potted",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant with description: (which is a plant suitable for growing in a flowerpot (especially indoors))"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""Colour is universally relevant across all concepts as it helps identify and categorize objects, including plants.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""Shape is relevant for understanding the visual characteristics of a potted plant, including",phi3mini_4k_instruct_q4,context,,,No syntax
phi_4k_instruct,potted plant,"['colour', 'shape', 'location', 'texture', 'material', 'scenario', 'pattern', 'context', 'disposition', 'function', 'size', 'weight', 'temperature', 'value']",,,avg,"{
  ""concept"": ""potted plant"",
  ""colour"": {
    ""value"": true,
    ""reason"": ""The colour of a potted plant can help identify the species and assess its health.""
  },
  ""shape"": {
    ""value"": true,
    ""reason"": ""The shape of a potted plant contributes to its aesthetic appeal and can indicate the type or stage of the plant.""
  },
  ""location"": {
    ""value"":",phi3mini_4k_instruct_q4,context,,,No syntax
