object_name,object_description,url,n_boxes,len_min,len_max,len_mean,len_std,wid_min,wid_max,wid_mean,wid_std,hei_min,hei_max,hei_mean,hei_std
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,https://behavior.stanford.edu/knowledgebase/synsets/apple.n.01/index.html,13,0.04,0.13,0.08,0.0235339362165821,0.04,0.11,0.0761538461538462,0.0190297182720815,0.04,0.11,0.0746153846153846,0.0173716766009788
backpack,a bag carried by a strap on your back or shoulder,https://behavior.stanford.edu/knowledgebase/synsets/backpack.n.01/,1,0.49,0.49,0.49,0,0.4,0.4,0.4,0,0.47,0.47,0.47,0
suitcase,a portable rectangular container for carrying clothes,https://behavior.stanford.edu/knowledgebase/synsets/bag.n.06/index.html,4,0.41,0.43,0.415,0.00866025403784439,0.61,0.62,0.6125,0.0043301270189222,0.2,0.22,0.215,0.00866025403784438
sports ball,round object that is hit or thrown or kicked in games,https://behavior.stanford.edu/knowledgebase/synsets/ball.n.01/index.html,9,0.06,0.37,0.18,0.102632028788938,0.06,0.35,0.177777777777778,0.0986326267607651,0.06,1.43,0.297777777777778,0.407752042784658
banana,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits,https://behavior.stanford.edu/knowledgebase/synsets/banana.n.02/index.html,5,0.17,0.37,0.224,0.0739188744503053,0.06,0.3,0.132,0.0861162005664439,0.03,0.16,0.068,0.0479165942028438
baseball bat,an implement used in baseball by the batter,https://behavior.stanford.edu/knowledgebase/synsets/baseball_bat.n.01/index.html,2,0.75,0.81,0.78,0.03,0.05,0.07,0.06,0.01,0.05,0.07,0.06,0.01
baseball glove,the handwear used by fielders in playing baseball,https://behavior.stanford.edu/knowledgebase/synsets/baseball_glove.n.01/index.html,1,0.33,0.33,0.33,0,0.24,0.24,0.24,0,0.1,0.1,0.1,0
bed,a piece of furniture that provides a place to sleep,https://behavior.stanford.edu/knowledgebase/synsets/bed.n.01/index.html,30,1.66,2.39,2.089,0.155249261941348,0.69,3.79,1.616,0.650346574271493,0.6,2.5,1.03333333333333,0.403082566672829
bench,a long seat for more than one person,https://behavior.stanford.edu/knowledgebase/synsets/bench.n.01/,29,0.25,4.61,1.11620689655172,1.17328426103558,0.98,9.15,2.67758620689655,1.91179218170194,0.35,1.67,0.825862068965517,0.322827136847841
bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,https://behavior.stanford.edu/knowledgebase/synsets/bicycle.n.01/,2,1.73,1.73,1.73,0,1.04,1.06,1.05,0.01,0.4,0.41,0.405,0.00499999999999998
boat,a small vessel for travel on water,https://behavior.stanford.edu/knowledgebase/synsets/boat.n.01/,2,2.15,3.06,2.605,0.455,0.77,0.79,0.78,0.01,0.42,0.65,0.535,0.115
bottle,a glass or plastic vessel used for storing drinks or other liquids,https://behavior.stanford.edu/knowledgebase/synsets/bottle__of__water.n.01/index.html,15,0.05,0.11,0.076,0.0166533279957291,0.05,0.11,0.0746666666666667,0.0162754074876449,0.15,0.36,0.244666666666667,0.073199878566991
bowl,a round vessel that is open at the top and is used chiefly for holding food or liquids,https://behavior.stanford.edu/knowledgebase/synsets/bowl.n.01/index.html,47,0.09,0.49,0.186382978723404,0.0779368410935281,0.09,0.44,0.191702127659575,0.0792603882428621,0.03,0.18,0.0795744680851064,0.0363761347301848
dining table,a table at which meals are served,https://behavior.stanford.edu/knowledgebase/synsets/breakfast_table.n.01/index.html,32,0.49,1.5,0.7946875,0.215333816071118,0.7,3.5,1.4834375,0.682351675160067,0.29,1.05,0.6428125,0.182521135334377
broccoli,plant with dense clusters of tight green flower buds,https://behavior.stanford.edu/knowledgebase/synsets/broccoli.n.02/index.html,1,0.03,0.03,0.03,0,0.03,0.03,0.03,0,0.02,0.02,0.02,0
cake,"baked goods made from or based on a mixture of flour, sugar, eggs, and fat",https://behavior.stanford.edu/knowledgebase/synsets/cake.n.03/,72,0.01,0.28,0.0918055555555556,0.0535756575344336,0.03,0.28,0.105416666666667,0.0713352316725598,0,0.12,0.0345833333333333,0.0286229074926593
car,a motor vehicle with four wheels and usually propelled by an internal combustion engine,https://behavior.stanford.edu/knowledgebase/synsets/car.n.01/,2,5.05,5.05,5.05,0,2.15,2.15,2.15,0,1.54,1.54,1.54,0
carrot,deep orange edible root of the cultivated carrot plant,https://behavior.stanford.edu/knowledgebase/synsets/carrot.n.03/index.html,3,0.09,0.25,0.173333333333333,0.0654896090146283,0.03,0.04,0.0333333333333333,0.00471404520791032,0.02,0.04,0.03,0.00816496580927726
chair,"a seat for one person, with a support for the back",https://behavior.stanford.edu/knowledgebase/synsets/chair.n.01/,176,0.29,1.33,0.629488636363636,0.157502777343346,0.28,1.85,0.604488636363636,0.182783931952343,0.37,1.3,0.852102272727273,0.132079567941306
clock,a timepiece that shows the time of day,https://behavior.stanford.edu/knowledgebase/synsets/clock.n.01/,14,0.02,0.27,0.112857142857143,0.0960229564388918,0.11,0.62,0.34,0.16261259835221,0.05,0.96,0.427142857142857,0.268472626203135
book,a written work or composition that has been published (printed on pages bound together),https://behavior.stanford.edu/knowledgebase/synsets/comic_book.n.01/index.html,5,0.19,0.2,0.192,0.004,0.13,0.13,0.13,0,0.02,0.02,0.02,0
cup,a small open container usually used for drinking,https://behavior.stanford.edu/knowledgebase/synsets/cup.n.01/,36,0.05,0.19,0.0963888888888889,0.0267864785311314,0.05,0.19,0.0861111111111111,0.0273127745628486,0.04,0.21,0.0880555555555556,0.0351045616254295
donut,a small ring-shaped friedcake,https://behavior.stanford.edu/knowledgebase/synsets/doughnut.n.02/index.html,2,0.07,0.1,0.085,0.015,0.07,0.1,0.085,0.015,0.03,0.05,0.04,0.01
refrigerator,white goods in which food can be stored at low temperatures,https://behavior.stanford.edu/knowledgebase/synsets/electric_refrigerator.n.01/index.html,14,0.45,0.93,0.662142857142857,0.119712666201115,0.36,1.79,0.793571428571428,0.371129687438177,0.9,2.23,1.62928571428571,0.466927101770016
fork,cutlery used for serving and eating food,https://behavior.stanford.edu/knowledgebase/synsets/fork.n.01/,10,0.15,0.45,0.244,0.0957287835501946,0.02,0.04,0.032,0.00748331477354788,0,0.03,0.015,0.00806225774829855
remote,a device that can be used to control a machine or apparatus from a distance,https://behavior.stanford.edu/knowledgebase/synsets/gaming_controller.n.01/index.html,1,0.12,0.12,0.12,0,0.18,0.18,0.18,0,0.06,0.06,0.06,0
hair drier,a hand-held electric blower that can blow warm air onto the hair and is used for styling hair,https://behavior.stanford.edu/knowledgebase/synsets/hand_blower.n.01/index.html,2,0.18,0.26,0.22,0.04,0.18,0.25,0.215,0.035,0.06,0.11,0.085,0.025
hot dog,a frankfurter served hot on a bun,https://behavior.stanford.edu/knowledgebase/synsets/hotdog.n.02/index.html,1,0.08,0.08,0.08,0,0.16,0.16,0.16,0,0.05,0.05,0.05,0
keyboard,device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like,https://behavior.stanford.edu/knowledgebase/synsets/keyboard.n.01/index.html,10,0.12,0.18,0.144,0.0237486841740758,0.34,0.5,0.448,0.0446766158073774,0.02,0.03,0.023,0.00458257569495584
knife,edge tool used as a cutting instrument that has a pointed blade with a sharp edge and a handle,https://behavior.stanford.edu/knowledgebase/synsets/knife.n.01/,22,0.14,0.38,0.259090909090909,0.0674138568780451,0.01,0.08,0.0354545454545455,0.0169832197202449,0,0.03,0.0145454545454545,0.00782029569731148
laptop,a portable computer small enough to use in your lap,https://behavior.stanford.edu/knowledgebase/synsets/laptop.n.01/index.html,6,0.2,0.32,0.246666666666667,0.0372677996249965,0.27,0.45,0.341666666666667,0.0572761342581319,0.02,0.04,0.0316666666666667,0.00687184270936277
microwave,kitchen appliance that cooks food by passing an electromagnetic wave through it,https://behavior.stanford.edu/knowledgebase/synsets/microwave.n.02/index.html,7,0.26,0.42,0.351428571428571,0.0589015089373951,0.4,0.52,0.481428571428571,0.0491146098219174,0.26,0.31,0.29,0.0169030850945703
motorcycle,a motor vehicle with two wheels and a strong frame,https://behavior.stanford.edu/knowledgebase/synsets/motorcycle.n.01/,1,2.2,2.2,2.2,0,0.88,0.88,0.88,0,1.34,1.34,1.34,0
mouse,a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad,https://behavior.stanford.edu/knowledgebase/synsets/mouse.n.04/index.html,9,0.03,0.13,0.107777777777778,0.0281968389787767,0.02,0.07,0.0577777777777778,0.0147405546238018,0.01,0.04,0.0333333333333333,0.00942809041582063
tie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front,https://behavior.stanford.edu/knowledgebase/synsets/necktie.n.01/index.html,1,0.36,0.36,0.36,0,0.11,0.11,0.11,0,0.1,0.1,0.1,0
orange,round yellow to orange fruit of any of several citrus trees,https://behavior.stanford.edu/knowledgebase/synsets/orange.n.01/index.html,3,0.08,0.11,0.0933333333333333,0.0124721912892465,0.09,0.11,0.0966666666666667,0.00942809041582064,0.08,0.11,0.0933333333333333,0.0124721912892465
oven,kitchen appliance used for baking or roasting,https://behavior.stanford.edu/knowledgebase/synsets/oven.n.01/index.html,16,0.39,0.94,0.548125,0.129818081849178,0.45,0.84,0.565,0.0990580637807947,0.49,1.67,0.73875,0.31058161165787
pizza,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese,https://behavior.stanford.edu/knowledgebase/synsets/pizza.n.01/index.html,1,0.47,0.47,0.47,0,0.47,0.47,0.47,0,0.02,0.02,0.02,0
potted plant,a plant suitable for growing in a flowerpot (especially indoors),https://behavior.stanford.edu/knowledgebase/synsets/pot_plant.n.01/index.html,72,0.07,1.69,0.531805555555555,0.359507094617404,0.08,1.76,0.555833333333333,0.386823782734321,0.11,2.65,0.701527777777778,0.522160734412047
sandwich,two (or more) slices of bread with a filling between them,https://behavior.stanford.edu/knowledgebase/synsets/sandwich.n.01/,12,0.08,0.21,0.116666666666667,0.0392286743197994,0.05,0.2,0.114166666666667,0.0561928722249441,0.05,0.09,0.0683333333333333,0.0121335164821342
scissors,an edge tool having two crossed pivoting blades,https://behavior.stanford.edu/knowledgebase/synsets/scissors.n.01/,2,0.09,0.13,0.11,0.02,0.01,0.05,0.03,0.02,0,0.02,0.01,0.01
sink,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe,https://behavior.stanford.edu/knowledgebase/synsets/sink.n.01/,31,0.33,0.85,0.566774193548387,0.120546794468404,0.32,3.81,1.30548387096774,0.86188031019086,0.22,1.38,0.780322580645161,0.350349906853206
skateboard,a board with wheels that is ridden in a standing or crouching position and propelled by foot,https://behavior.stanford.edu/knowledgebase/synsets/skateboard.n.01/,1,0.33,0.33,0.33,0,1.04,1.04,1.04,0,0.15,0.15,0.15,0
skis,narrow wood or metal or plastic runners used in pairs for gliding over snow,https://behavior.stanford.edu/knowledgebase/synsets/ski.n.01/index.html,2,2.67,2.67,2.67,0,0.18,0.18,0.18,0,0.08,0.08,0.08,0
couch,an upholstered seat for more than one person,https://behavior.stanford.edu/knowledgebase/synsets/sofa.n.01/index.html,35,0.75,4.5,1.634,1.02827789462354,1.07,4.76,2.65171428571429,0.961024708213019,0.59,0.93,0.793428571428571,0.100653375705022
spoon,a piece of cutlery with a shallow bowl-shaped container and a handle that is used to stir or serve or take up food,https://behavior.stanford.edu/knowledgebase/synsets/spoon.n.01/,27,0.06,0.31,0.175925925925926,0.0657300460784564,0.02,0.07,0.0403703703703704,0.0162119026875847,0,0.05,0.0162962962962963,0.0090872919602854
teddy bear,plaything consisting of a child's toy bear (usually plush and stuffed with soft materials),https://behavior.stanford.edu/knowledgebase/synsets/teddy.n.01/index.html,5,0.15,0.47,0.31,0.120830459735946,0.11,0.37,0.254,0.104422219857653,0.09,0.33,0.208,0.101271911209377
cell phone,telephony that uses transmission by radio rather than by wire,https://behavior.stanford.edu/knowledgebase/synsets/telephone.n.01/,6,0.14,0.47,0.283333333333333,0.120508183216835,0.08,0.33,0.25,0.0816496580927726,0.01,0.69,0.22,0.220831761000692
TV,an electronic device that receives television signals and displays them on a screen,https://behavior.stanford.edu/knowledgebase/synsets/television_receiver.n.01/,29,0.02,0.4,0.129655172413793,0.0928284572383175,0.54,5.16,1.24724137931035,0.853709538554412,0.37,3.53,0.802068965517241,0.561121901503769
tennis racket,a racket used to play tennis,https://behavior.stanford.edu/knowledgebase/synsets/tennis_racket.n.01/index.html,1,0.82,0.82,0.82,0,0.34,0.34,0.34,0,0.03,0.03,0.03,0
