object_name,object_description,url,n_boxes,len_min,len_max,len_mean,len_std,wid_min,wid_max,wid_mean,wid_std,hei_min,hei_max,hei_mean,hei_std,len_min_mm,len_min_cm,len_min_ft,len_min_in,len_max_mm,len_max_cm,len_max_ft,len_max_in,len_mean_mm,len_mean_cm,len_mean_ft,len_mean_in,len_std_mm,len_std_cm,len_std_ft,len_std_in,wid_min_mm,wid_min_cm,wid_min_ft,wid_min_in,wid_max_mm,wid_max_cm,wid_max_ft,wid_max_in,wid_mean_mm,wid_mean_cm,wid_mean_ft,wid_mean_in,wid_std_mm,wid_std_cm,wid_std_ft,wid_std_in,hei_min_mm,hei_min_cm,hei_min_ft,hei_min_in,hei_max_mm,hei_max_cm,hei_max_ft,hei_max_in,hei_mean_mm,hei_mean_cm,hei_mean_ft,hei_mean_in,hei_std_mm,hei_std_cm,hei_std_ft,hei_std_in
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,https://behavior.stanford.edu/knowledgebase/synsets/apple.n.01/index.html,13,0.04,0.13,0.08,0.0235339362165821,0.04,0.11,0.0761538461538462,0.0190297182720815,0.04,0.11,0.0746153846153846,0.0173716766009788,40.0,4.0,0.13123359580000002,1.5748031496,130.0,13.0,0.42650918635,5.1181102362,80.0,8.0,0.26246719160000004,3.1496062992,23.533936216582102,2.3533936216582103,0.07721107682574792,0.926532921908975,40.0,4.0,0.13123359580000002,1.5748031496,110.0,11.0,0.36089238845000005,4.3307086614,76.1538461538462,7.615384615384619,0.24984857661923093,2.9981829194307705,19.0297182720815,1.9029718272081502,0.062433458897655454,0.7492015067718654,40.0,4.0,0.13123359580000002,1.5748031496,110.0,11.0,0.36089238845000005,4.3307086614,74.6153846153846,7.46153846153846,0.24480113062692302,2.937613567523076,17.3716766009788,1.73716766009788,0.05699368963552925,0.6839242756263508
backpack,a bag carried by a strap on your back or shoulder,https://behavior.stanford.edu/knowledgebase/synsets/backpack.n.01/,1,0.49,0.49,0.49,0.0,0.4,0.4,0.4,0.0,0.47,0.47,0.47,0.0,490.0,49.0,1.60761154855,19.291338582599998,490.0,49.0,1.60761154855,19.291338582599998,490.0,49.0,1.60761154855,19.291338582599998,0.0,0.0,0.0,0.0,400.0,40.0,1.3123359580000002,15.748031496,400.0,40.0,1.3123359580000002,15.748031496,400.0,40.0,1.3123359580000002,15.748031496,0.0,0.0,0.0,0.0,470.0,47.0,1.54199475065,18.503937007799998,470.0,47.0,1.54199475065,18.503937007799998,470.0,47.0,1.54199475065,18.503937007799998,0.0,0.0,0.0,0.0
suitcase,a portable rectangular container for carrying clothes,https://behavior.stanford.edu/knowledgebase/synsets/bag.n.06/index.html,4,0.41,0.43,0.415,0.0086602540378443,0.61,0.62,0.6125,0.0043301270189222,0.2,0.22,0.215,0.0086602540378443,410.0,41.0,1.34514435695,16.141732283399996,430.0,43.0,1.41076115485,16.929133858199997,415.0,41.5,1.361548556425,16.338582677099996,8.6602540378443,0.8660254037844299,0.02841290694819442,0.340954883378333,610.0,61.0,2.0013123359500002,24.015748031399998,620.0,62.0,2.0341207349,24.409448818799998,612.5,61.25000000000001,2.0095144356875,24.11417322825,4.3301270189222,0.43301270189222,0.014206453474097375,0.17047744168916848,200.0,20.0,0.6561679790000001,7.874015748,220.0,22.0,0.7217847769000001,8.6614173228,215.0,21.5,0.705380577425,8.464566929099998,8.6602540378443,0.8660254037844299,0.02841290694819442,0.340954883378333
sports ball,round object that is hit or thrown or kicked in games,https://behavior.stanford.edu/knowledgebase/synsets/ball.n.01/index.html,9,0.06,0.37,0.18,0.102632028788938,0.06,0.35,0.177777777777778,0.0986326267607651,0.06,1.43,0.297777777777778,0.407752042784658,60.0,6.0,0.19685039370000001,2.3622047243999997,370.0,37.0,1.21391076115,14.566929133799999,180.0,18.0,0.5905511811,7.086614173199999,102.632028788938,10.2632028788938,0.33671925455553636,4.040631054666435,60.0,6.0,0.19685039370000001,2.3622047243999997,350.0,35.0,1.14829396325,13.779527558999998,177.777777777778,17.7777777777778,0.5832604257777786,6.999125109333342,98.6326267607651,9.863262676076511,0.3235978568253628,3.883174281904353,60.0,6.0,0.19685039370000001,2.3622047243999997,1430.0,143.0,4.69160104985,56.29921259819999,297.777777777778,29.777777777777796,0.9769612131777785,11.72353455813334,407.752042784658,40.7752042784658,1.3377691692356528,16.053230030827834
banana,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits,https://behavior.stanford.edu/knowledgebase/synsets/banana.n.02/index.html,5,0.17,0.37,0.224,0.0739188744503053,0.06,0.3,0.132,0.0861162005664439,0.03,0.16,0.068,0.0479165942028438,170.0,17.0,0.5577427821500001,6.6929133858,370.0,37.0,1.21391076115,14.566929133799999,224.0,22.400000000000002,0.7349081364800001,8.81889763776,73.9188744503053,7.39188744503053,0.24251599229005785,2.910191907480694,60.0,6.0,0.19685039370000001,2.3622047243999997,300.0,30.0,0.9842519685,11.811023621999999,132.0,13.200000000000001,0.43307086614000007,5.19685039368,86.1162005664439,8.611620056644389,0.28253346642421073,3.3904015970905284,30.0,3.0,0.09842519685000001,1.1811023621999999,160.0,16.0,0.5249343832000001,6.2992125984,68.0,6.800000000000001,0.22309711286000003,2.67716535432,47.9165942028438,4.79165942028438,0.15720667389321566,1.8864800867185876
baseball bat,an implement used in baseball by the batter,https://behavior.stanford.edu/knowledgebase/synsets/baseball_bat.n.01/index.html,2,0.75,0.81,0.78,0.03,0.05,0.07,0.06,0.01,0.05,0.07,0.06,0.01,750.0,75.0,2.4606299212500002,29.527559054999998,810.0,81.0,2.6574803149500004,31.8897637794,780.0,78.0,2.5590551181000003,30.7086614172,30.0,3.0,0.09842519685000001,1.1811023621999999,50.0,5.0,0.16404199475000003,1.968503937,70.0,7.000000000000001,0.22965879265000003,2.7559055118,60.0,6.0,0.19685039370000001,2.3622047243999997,10.0,1.0,0.032808398950000005,0.3937007874,50.0,5.0,0.16404199475000003,1.968503937,70.0,7.000000000000001,0.22965879265000003,2.7559055118,60.0,6.0,0.19685039370000001,2.3622047243999997,10.0,1.0,0.032808398950000005,0.3937007874
baseball glove,the handwear used by fielders in playing baseball,https://behavior.stanford.edu/knowledgebase/synsets/baseball_glove.n.01/index.html,1,0.33,0.33,0.33,0.0,0.24,0.24,0.24,0.0,0.1,0.1,0.1,0.0,330.0,33.0,1.08267716535,12.9921259842,330.0,33.0,1.08267716535,12.9921259842,330.0,33.0,1.08267716535,12.9921259842,0.0,0.0,0.0,0.0,240.0,24.0,0.7874015748000001,9.448818897599999,240.0,24.0,0.7874015748000001,9.448818897599999,240.0,24.0,0.7874015748000001,9.448818897599999,0.0,0.0,0.0,0.0,100.0,10.0,0.32808398950000006,3.937007874,100.0,10.0,0.32808398950000006,3.937007874,100.0,10.0,0.32808398950000006,3.937007874,0.0,0.0,0.0,0.0
bed,a piece of furniture that provides a place to sleep,https://behavior.stanford.edu/knowledgebase/synsets/bed.n.01/index.html,30,1.66,2.39,2.089,0.155249261941348,0.69,3.79,1.616,0.650346574271493,0.6,2.5,1.03333333333333,0.403082566672829,1660.0,166.0,5.4461942257,65.35433070839998,2390.0,239.0,7.841207349050001,94.0944881886,2089.0,208.9,6.853674540655001,82.24409448786,155.249261941348,15.5249261941348,0.5093479722464797,6.112175666957755,690.0,69.0,2.26377952755,27.165354330599996,3790.0,379.0,12.43438320205,149.2125984246,1616.0,161.60000000000002,5.301837270320001,63.62204724384,650.346574271493,65.0346574271493,2.133682986446495,25.604195837357935,600.0,60.0,1.968503937,23.622047243999997,2500.0,250.0,8.202099737500001,98.42519684999999,1033.33333333333,103.33333333333302,3.390201224833323,40.68241469799987,403.082566672829,40.3082566672829,1.322449365719215,15.869392388630576
bench,a long seat for more than one person,https://behavior.stanford.edu/knowledgebase/synsets/bench.n.01/,29,0.25,4.61,1.11620689655172,1.17328426103558,0.98,9.15,2.67758620689655,1.91179218170194,0.35,1.67,0.825862068965517,0.322827136847841,250.0,25.0,0.82020997375,9.842519685,4610.0,461.00000000000006,15.124671915950001,181.4960629914,1116.20689655172,111.620689655172,3.662096117281021,43.945153407372246,1173.2842610355801,117.328426103558,3.8493578117811253,46.1922937413735,980.0,98.0,3.2152230971,38.582677165199996,9150.0,915.0,30.019685039250003,360.23622047099997,2677.58620689655,267.758620689655,8.784731649887926,105.4167797986551,1911.79218170194,191.17921817019402,6.272284060676815,75.26740872812177,350.0,35.0,1.14829396325,13.779527558999998,1670.0,167.0,5.47900262465,65.74803149579999,825.862068965517,82.5862068965517,2.7095212236293094,32.51425468355171,322.82713684784096,32.2827136847841,1.0591441497590213,12.709729797108254
bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,https://behavior.stanford.edu/knowledgebase/synsets/bicycle.n.01/,2,1.73,1.73,1.73,0.0,1.04,1.06,1.05,0.01,0.4,0.41,0.405,0.0049999999999999,1730.0,173.0,5.675853018350001,68.1102362202,1730.0,173.0,5.675853018350001,68.1102362202,1730.0,173.0,5.675853018350001,68.1102362202,0.0,0.0,0.0,0.0,1040.0,104.0,3.4120734908,40.9448818896,1060.0,106.0,3.4776902887000003,41.7322834644,1050.0,105.0,3.4448818897500004,41.338582677,10.0,1.0,0.032808398950000005,0.3937007874,400.0,40.0,1.3123359580000002,15.748031496,410.0,41.0,1.34514435695,16.141732283399996,405.0,40.5,1.3287401574750002,15.9448818897,4.9999999999999005,0.49999999999999,0.016404199474999673,0.19685039369999607
