WorkerId,Input.object_name,Input.object_description,Answer.affordance,Answer.colour,Answer.disposition,Answer.height_mean,Answer.height_range,Answer.height_unit_cm.centimeters,Answer.height_unit_f.feet,Answer.height_unit_i.inches,Answer.height_unit_m.meters,Answer.height_unit_mm.millimeters,Answer.height_unit_na.na,Answer.length_mean,Answer.length_range,Answer.length_unit_cm.centimeters,Answer.length_unit_f.feet,Answer.length_unit_i.inches,Answer.length_unit_m.meters,Answer.length_unit_mm.millimeters,Answer.length_unit_na.na,Answer.location,Answer.material,Answer.pattern,Answer.shape,Answer.temperature_mean,Answer.temperature_range,Answer.temperature_unit_c.celsius,Answer.temperature_unit_f.fahrenheit,Answer.temperature_unit_k.kelvin,Answer.temperature_unit_na.na,Answer.texture,Answer.value_mean,Answer.value_range,Answer.value_unit_d.US dollars,Answer.value_unit_e.euros,Answer.value_unit_na.na,Answer.value_unit_p.pounds,Answer.weight_mean,Answer.weight_range,Answer.weight_unit_g.grams,Answer.weight_unit_kg.kilograms,Answer.weight_unit_na.na,Answer.weight_unit_o.ounces,Answer.weight_unit_p.pounds,Answer.width_mean,Answer.width_range,Answer.width_unit_cm.centimeters,Answer.width_unit_f.feet,Answer.width_unit_i.inches,Answer.width_unit_m.meters,Answer.width_unit_mm.millimeters,Answer.width_unit_na.na,Answer.height_unit,Answer.length_unit,Answer.temperature_unit,Answer.value_unit,Answer.weight_unit,Answer.width_unit,Answer.texture_cleaned,Answer.colour_cleaned,Answer.material_cleaned,Answer.shape_cleaned,Answer.pattern_cleaned,Answer.location_cleaned,Answer.disposition_cleaned
A29O9F0JQ0OCY0,person,a human being,drinking,red,tough,170,10,true,false,false,false,false,false,6,0.2,false,true,false,false,false,false,shop,plastic,plain,round,37,0.5,true,false,false,false,smooth,na,na,false,false,true,false,70,15,false,true,false,false,false,0.5,0.1,false,false,false,true,false,false,centimeters,feet,celsius,na,kilograms,meters,['smooth'],['red'],['plastic'],['round'],['plain'],['shop'],['tough']
A21T97KDI003LM,person,a human being,TALKING,BROWN,FRIENDLY,170,15,true,false,false,false,false,false,na,na,false,false,false,false,false,true,HOME,BIOLOGICAL TISSUES,"PLAIN , STRIPED",CYLINDRICAL,37,0.5,true,false,false,false,SMOOTH,na,na,false,false,true,false,70,20,false,true,false,false,false,40,10,true,false,false,false,false,false,centimeters,na,celsius,na,kilograms,centimeters,['smooth'],['seal brown'],[],['cylindrical'],"['plain', 'striped']",['home'],['friendly']
AU59GP9KMR6CQ,person,a human being,"Walking, sitting, grasping, speaking, thinking, learning, feeling","black, brown, blonde, red, gray, eye colors","Friendly, emotional, adaptable, fragile (biologically), intelligent",1.7,0.2,false,false,false,true,false,false,1.7,0.2,false,false,false,true,false,false,"Everywhere—homes, offices, parks, streets, vehicles, etc.","Organic tissue (skin, muscle, bone); hair, nails (keratin)","Clothing patterns: plain, striped, polka dots, floral, etc.","Generally upright, cylindrical torso with limbs; humanoid silhouette",37,0.5,true,false,false,false,"Smooth (skin), coarse (hair), variable depending on clothing or accessories",na,na,false,false,true,false,70,15,false,true,false,false,false,0.4,0.1,false,false,false,true,false,false,meters,meters,celsius,na,kilograms,meters,"['rough', 'smooth']","['black', 'color', 'grey', 'red', 'seal brown']","['flesh', 'hair', 'organic']","['cylindrical', 'humanoid']","['plain', 'striped']","['office', 'park', 'street']","['emotional', 'fragile', 'friendly', 'intelligent']"
A3N9HNU9SOX3CC,bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,"sitting, pedaling, steering, braking, balancing","red, blue, black, silver, white, green","durable, weather-resistant, lightweight",1,0.2,false,false,false,true,false,false,1.7,0.2,false,false,false,true,false,false,"garage, street, school, bike stand, park","metal (steel, aluminum, carbon fiber), plastic (pedals, reflectors), rubber (tires, grips)","plain, striped, branded decals","triangular (frame), cylindrical (handlebars and wheels), circular (wheels)",na,na,false,false,false,true,"smooth (frame), rough (tire tread), rubbery (handle grips)",300,200,true,false,false,false,12,4,false,true,false,false,false,0.6,0.1,false,false,false,true,false,false,meters,meters,na,US dollars,kilograms,meters,"['rough', 'rubbery', 'smooth']","['black', 'blue', 'green', 'red', 'silver', 'white']","['aluminium', 'metal', 'plastic', 'rubber']","['circular', 'cylindrical']","['plain', 'striped']","['garage', 'park', 'schoolhouse', 'street']","['durable', 'lightweight', 'weather-resistant']"
A3CUXSPYFLFW4L,bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,"riding, sitting, steering, pedaling, grasping, transporting  Measurable properties Length of a bicycle Mean (average): 1.75 Typical variation: 0.1 Unit: m  Width of a bicycle Mean (average): 0.65 Typical variation: 0.05 Unit: m  Height of a bicycle Mean (average): 1.0 Typical variation: 0.1 Unit: m  Weight of a bicycle Mean (average): 12 Typical variation: 3 Unit: kg  Temperature of a bicycle Mean (average): na Typical variation: na Unit: not applicable  Typical monetary value of a bicycle Mean (average): 500 Typical variation: 300 Unit: USD $  Let me know if you want the values tailored for a specific bicycle type (e.g., road bike, mountain bike, kids’ bike).     Ask ChatGPT","red, blue, black, white, silver, green, yellow, na","durable, mobile, weather-resistant, mechanical, na",1,0.1,false,false,false,true,false,false,1.75,0.1,false,false,false,true,false,false,"garage, street, sidewalk, bike rack, park, school, basement, na","aluminum, steel, carbon fiber, rubber, plastic, titanium, na","plain, striped, logo-branded, color gradients, na","triangular (frame), cylindrical (tubes), circular (wheels), na",15,5,false,true,false,false,"smooth (frame), rough (tires, handle grips), rubbery, metallic, na",500,300,true,false,false,false,12,3,false,true,false,false,false,0.65,0.05,false,false,false,true,false,false,meters,meters,fahrenheit,US dollars,kilograms,meters,"['metallic', 'rough', 'rubbery', 'smooth']","['black', 'blue', 'green', 'red', 'silver', 'white', 'yellow']","['aluminium', 'fiber', 'plastic', 'rubber', 'steel']","['circular', 'cylindrical']","['plain', 'striped']","['basement', 'garage', 'park', 'schoolhouse', 'sidewalk', 'street']","['durable', 'weather-resistant']"
AB29SMFXGIKCQ,bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,"Sitting, pedaling, steering, braking, riding, transporting","Red, blue, black, white, silver, green","Durable, weather-resistant, lightweight (varies by type)",100,10,true,false,false,false,false,false,170,10,true,false,false,false,false,false,"Garage, shed, outdoors, bike racks, street, store","Metal (aluminum, steel), carbon fiber, rubber (tires), plastic (seat components), leather/synthetic (seat cover)","Plain, striped, graphic decals, logos","Triangular (frame), cylindrical (tires and handlebars)",na,na,false,false,false,true,"Smooth (frame), rough (tires), rubbery (handle grips)",500,300,true,false,false,false,12,4,false,true,false,false,false,60,10,true,false,false,false,false,false,centimeters,centimeters,na,US dollars,kilograms,centimeters,"['rough', 'rubbery', 'smooth']","['black', 'blue', 'green', 'red', 'silver', 'white']","['fiber', 'leather', 'metal', 'plastic', 'rubber']",['cylindrical'],"['logo', 'plain', 'striped']","['garage', 'outdoor', 'shed', 'store', 'street']","['durable', 'lightweight', 'weather-resistant']"
A3BM1VCX0Q3UYD,car,a motor vehicle with four wheels and usually propelled by an internal combustion engine,"braking, steering, parking, wiper control","silver, white, red, majestic blue, magenta","toughness, durability, longevity, environmental impact",5.5,7,false,true,false,false,false,false,14,16,false,true,false,false,false,false,garage,"rubber, plastic, glass, ferrous metals","grill, symmetrical, stripes","hatchback,suv,sport,coupe",195,220,false,true,false,false,"rough, metallic, smooth",23359,120000,true,false,false,false,2600,4000,false,false,false,true,false,6,6,false,true,false,false,false,false,feet,feet,fahrenheit,US dollars,ounces,feet,"['metallic', 'rough', 'smooth']","['blue', 'red', 'silver', 'white']","['glass', 'metal', 'plastic', 'rubber']",[],[],['garage'],[]
AWOWGR8AQU6GY,car,a motor vehicle with four wheels and usually propelled by an internal combustion engine,"Driving, sitting, storing, transporting","White, black, silver, red, blue","Durable, fast, enclosed, weather-resistant",1.5,0.2,false,false,false,true,false,false,4.5,0.5,false,false,false,true,false,false,"Roads, driveways, parking lots, garages","Steel, aluminum, plastic, glass, rubber","Solid, metallic, striped (rare)","Boxy, curved, aerodynamic",na,na,false,false,false,true,"Smooth, hard, metallic",30000,10000,true,false,false,false,1500,300,false,true,false,false,false,1.8,0.2,false,false,false,true,false,false,meters,meters,na,US dollars,kilograms,meters,"['metallic', 'smooth']","['black', 'blue', 'red', 'silver', 'white']","['aluminium', 'glass', 'plastic', 'rubber', 'steel']",[],"['plain', 'striped']","['driveway', 'garage', 'parking lot', 'road']","['durable', 'fast', 'weather-resistant']"
AQKDMTBYYY8BR,car,a motor vehicle with four wheels and usually propelled by an internal combustion engine,"sitting, driving, transporting, storing items","red, blue, silver, black, white, gray","durable, water-repellent, heat-resistant",1.5,0.3,false,false,false,true,false,false,4.5,1,false,false,false,true,false,false,"garage, street, parking lot, driveway, highway","metal, plastic, glass, rubber","plain, striped (e.g., racing stripes), branded decals","rectangular, aerodynamic",25,30,true,false,false,false,"smooth, glossy",35000,15000,true,false,false,false,1500,300,false,true,false,false,false,1.8,0.2,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,"['glossy', 'smooth']","['black', 'blue', 'grey', 'red', 'silver', 'white']","['glass', 'metal', 'plastic', 'rubber']",['rectangle'],"['plain', 'striped']","['driveway', 'garage', 'highway', 'parking lot', 'street']","['durable', 'heat-resistant', 'water-resistant']"
AIBUW30KLWPC8,motorcycle,a motor vehicle with two wheels and a strong frame,"riding, sitting, steering, accelerating, braking","red, black, silver, blue, white","durable, weather-resistant, fast, agile",1.1,0.2,false,false,false,true,false,false,2.1,0.3,false,false,false,true,false,false,"garage, parking lot, street, highway, showroom","metal, plastic, rubber, leather (seat)","plain, striped, custom graphics, decals","cylindrical, angular, streamlined",90,20,true,false,false,false,"smooth (body), rough (tires), matte or glossy (paint)",10000,5000,true,false,false,false,200,50,false,true,false,false,false,0.8,0.1,false,false,false,true,false,false,meters,meters,celsius,US dollars,kilograms,meters,"['glossy', 'matted', 'rough', 'smooth']","['black', 'blue', 'red', 'silver', 'white']","['leather', 'metal', 'plastic', 'rubber']",['cylindrical'],"['plain', 'striped']","['garage', 'highway', 'parking lot', 'street']","['agile', 'durable', 'fast', 'weather-resistant']"
