,model,definition,family,metric,spearman_rho,kendall_tau,theoretical_order
0,groq_llama-4-maverick-17b-128e-instruct,cambridge,anger,activity_mean,1.0,1.0,annoyance < anger < rage
1,groq_llama-4-maverick-17b-128e-instruct,cambridge,anger,arousal_mean,1.0,1.0,annoyance < anger < rage
2,groq_llama-4-maverick-17b-128e-instruct,cambridge,anger,valence_mean,-1.0,-1.0,annoyance < anger < rage
3,groq_llama-4-maverick-17b-128e-instruct,cambridge,joy,activity_mean,1.0,1.0,serenity < joy < ecstasy
4,groq_llama-4-maverick-17b-128e-instruct,cambridge,joy,arousal_mean,1.0,1.0,serenity < joy < ecstasy
5,groq_llama-4-maverick-17b-128e-instruct,cambridge,joy,valence_mean,1.0,1.0,serenity < joy < ecstasy
6,groq_llama-4-maverick-17b-128e-instruct,cambridge,sadness,activity_mean,1.0,1.0,pensiveness < sadness < grief
7,groq_llama-4-maverick-17b-128e-instruct,cambridge,sadness,arousal_mean,1.0,1.0,pensiveness < sadness < grief
8,groq_llama-4-maverick-17b-128e-instruct,cambridge,sadness,valence_mean,-1.0,-1.0,pensiveness < sadness < grief
9,groq_llama-4-maverick-17b-128e-instruct,cambridge,fear,activity_mean,1.0,1.0,apprehension < fear < terror
10,groq_llama-4-maverick-17b-128e-instruct,cambridge,fear,arousal_mean,1.0,1.0,apprehension < fear < terror
11,groq_llama-4-maverick-17b-128e-instruct,cambridge,fear,valence_mean,-1.0,-1.0,apprehension < fear < terror
12,groq_llama-4-maverick-17b-128e-instruct,cambridge,trust,activity_mean,0.5,0.33333333333333337,acceptance < trust < admiration
13,groq_llama-4-maverick-17b-128e-instruct,cambridge,trust,arousal_mean,0.5,0.33333333333333337,acceptance < trust < admiration
14,groq_llama-4-maverick-17b-128e-instruct,cambridge,trust,valence_mean,1.0,1.0,acceptance < trust < admiration
15,groq_llama-4-maverick-17b-128e-instruct,cambridge,disgust,activity_mean,1.0,1.0,boredom < disgust < loathing
16,groq_llama-4-maverick-17b-128e-instruct,cambridge,disgust,arousal_mean,1.0,1.0,boredom < disgust < loathing
17,groq_llama-4-maverick-17b-128e-instruct,cambridge,disgust,valence_mean,-1.0,-1.0,boredom < disgust < loathing
18,groq_llama-4-maverick-17b-128e-instruct,cambridge,surprise,activity_mean,1.0,1.0,distraction < surprise < amazement
19,groq_llama-4-maverick-17b-128e-instruct,cambridge,surprise,arousal_mean,0.8660254037844387,0.816496580927726,distraction < surprise < amazement
20,groq_llama-4-maverick-17b-128e-instruct,cambridge,surprise,valence_mean,1.0,1.0,distraction < surprise < amazement
21,groq_llama-4-maverick-17b-128e-instruct,cambridge,anticipation,activity_mean,0.8660254037844387,0.816496580927726,interest < anticipation < vigilance
