model,concept,condition,warning
deepseekr1llama_70b_distill,sports ball,context,"Incomplete runs in sports ball.json: expected 20, found 0"
deepseekr1llama_70b_distill,snowboard,context,"Incomplete runs in snowboard.json: expected 20, found 0"
deepseekr1llama_70b_distill,kite,context,"Incomplete runs in kite.json: expected 20, found 1"
deepseekr1llama_70b_distill,baseball bat,context,"Incomplete runs in baseball bat.json: expected 20, found 1"
deepseekr1llama_70b_distill,surfboard,context,"Incomplete runs in surfboard.json: expected 20, found 1"
deepseekr1llama_70b_distill,skateboard,context,"Incomplete runs in skateboard.json: expected 20, found 1"
deepseekr1llama_70b_distill,baseball glove,context,"Incomplete runs in baseball glove.json: expected 20, found 1"
deepseekr1llama_70b_distill,skis,context,"Incomplete runs in skis.json: expected 20, found 0"
deepseekr1llama_70b_distill,tennis racket,context,"Incomplete runs in tennis racket.json: expected 20, found 1"
llama2_7b_chat,boat,avg,"Incomplete files for boat: expected 35, found 25"
llama2_7b_chat,sports ball,avg,"Incomplete files for sports ball: expected 35, found 25"
llama2_7b_chat,bicycle,avg,"Incomplete files for bicycle: expected 35, found 25"
llama2_7b_chat,sheep,avg,"Incomplete files for sheep: expected 35, found 25"
llama2_7b_chat,umbrella,avg,"Incomplete files for umbrella: expected 35, found 25"
llama2_7b_chat,snowboard,avg,"Incomplete files for snowboard: expected 35, found 0"
llama2_7b_chat,giraffe,avg,"Incomplete files for giraffe: expected 35, found 25"
llama2_7b_chat,kite,avg,"Incomplete files for kite: expected 35, found 25"
llama2_7b_chat,person,avg,"Incomplete files for person: expected 35, found 25"
llama2_7b_chat,baseball bat,avg,"Incomplete files for baseball bat: expected 35, found 26"
llama2_7b_chat,fire hydrant,avg,"Incomplete files for fire hydrant: expected 35, found 25"
llama2_7b_chat,car,avg,"Incomplete files for car: expected 35, found 25"
llama2_7b_chat,motorcycle,avg,"Incomplete files for motorcycle: expected 35, found 25"
llama2_7b_chat,zebra,avg,"Incomplete files for zebra: expected 35, found 25"
llama2_7b_chat,horse,avg,"Incomplete files for horse: expected 35, found 25"
llama2_7b_chat,traffic light,avg,"Incomplete files for traffic light: expected 35, found 25"
llama2_7b_chat,bench,avg,"Incomplete files for bench: expected 35, found 25"
llama2_7b_chat,tie,avg,"Incomplete files for tie: expected 35, found 25"
llama2_7b_chat,bird,avg,"Incomplete files for bird: expected 35, found 25"
llama2_7b_chat,backpack,avg,"Incomplete files for backpack: expected 35, found 25"
llama2_7b_chat,frisbee,avg,"Incomplete files for frisbee: expected 35, found 25"
llama2_7b_chat,suitcase,avg,"Incomplete files for suitcase: expected 35, found 25"
llama2_7b_chat,dog,avg,"Incomplete files for dog: expected 35, found 25"
llama2_7b_chat,cat,avg,"Incomplete files for cat: expected 35, found 25"
llama2_7b_chat,elephant,avg,"Incomplete files for elephant: expected 35, found 25"
llama2_7b_chat,cow,avg,"Incomplete files for cow: expected 35, found 25"
llama2_7b_chat,bus,avg,"Incomplete files for bus: expected 35, found 25"
llama2_7b_chat,stop sign,avg,"Incomplete files for stop sign: expected 35, found 25"
llama2_7b_chat,bear,avg,"Incomplete files for bear: expected 35, found 25"
llama2_7b_chat,airplane,avg,"Incomplete files for airplane: expected 35, found 25"
llama2_7b_chat,parking meter,avg,"Incomplete files for parking meter: expected 35, found 25"
llama2_7b_chat,truck,avg,"Incomplete files for truck: expected 35, found 25"
llama2_7b_chat,skis,avg,"Incomplete files for skis: expected 35, found 25"
llama2_7b_chat,train,avg,"Incomplete files for train: expected 35, found 25"
llama2_7b_chat,handbag,avg,"Incomplete files for handbag: expected 35, found 25"
