object_name,object_description,Size-w,Size-l,Size-h,Source,Category
person,a human being,1.19,0.26,1.74,https://behavior.stanford.edu/knowledgebase/objects/nphsfp/,
bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,0.41,1.73,1.06,,https://behavior.stanford.edu/knowledgebase/synsets/bicycle.n.01/
car,a motor vehicle with four wheels and usually propelled by an internal combustion engine,2.15,5.05,1.54,,https://behavior.stanford.edu/knowledgebase/synsets/car.n.01/
motorcycle,a motor vehicle with two wheels and a strong frame,0.88,2.2,1.34,,https://behavior.stanford.edu/knowledgebase/synsets/motorcycle.n.01/
airplane,an aircraft that has a fixed wing and is powered by propellers or jets,-,-,-,,-
bus,a vehicle carrying many passengers and used for public transport,-,-,-,,-
train,public transport provided by a line of railway cars coupled together and drawn by a locomotive,-,-,-,,-
truck,an automotive vehicle suitable for hauling,2.77,6.74,3.54,,https://behavior.stanford.edu/knowledgebase/synsets/truck.n.01/
boat,a small vessel for travel on water,,,,,https://behavior.stanford.edu/knowledgebase/synsets/boat.n.01/
traffic light,a visual signal to control the flow of traffic at intersections,,,,,-
fire hydrant,an upright hydrant for drawing water to use in fighting a fire,,,,,-
stop sign,a sign visible from the street,,,,,-
parking meter,a coin-operated timer located next to a parking space,,,,,-
bench,a long seat for more than one person,,,,,https://behavior.stanford.edu/knowledgebase/synsets/bench.n.01/
bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,,,,,-
cat,feline mammal usually having thick soft fur and no ability to roar: domestic cats,,,,,-
dog,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times,,,,,-
horse,solid-hoofed herbivorous quadruped domesticated since prehistoric times,,,,,-
sheep,woolly usually horned ruminant mammal related to the goat,,,,,-
cow,female of domestic cattle,,,,,-
elephant,five-toed animal with a long trunk,,,,,-
bear,"Large, heavy-bodied mammals that walk flat-footed, covered in thick fur and equipped with powerful claws; most species are omnivores.",,,,,-
zebra,any of several fleet black-and-white striped African equines,,,,,-
giraffe,"tallest living quadruped which has a spotted coat and small horns and very long neck and legs
 Of savannahs of tropical Africa
",,,,,-
backpack,a bag carried by a strap on your back or shoulder,,,,,https://behavior.stanford.edu/knowledgebase/synsets/backpack.n.01/
umbrella,a lightweight handheld collapsible canopy,,,,,https://behavior.stanford.edu/knowledgebase/synsets/umbrella.n.01/
handbag,a container used for carrying money and small personal items or accessories (especially by women),,,,,-
tie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front,,,,,https://behavior.stanford.edu/knowledgebase/synsets/necktie.n.01/index.html
suitcase,a portable rectangular container for carrying clothes,,,,,https://behavior.stanford.edu/knowledgebase/synsets/bag.n.06/index.html
frisbee,"a light, plastic disk about 10 inches in diameter; propelled with a flip of the wrist for recreation or competition",,,,,-
skis,narrow wood or metal or plastic runners used in pairs for gliding over snow,,,,,https://behavior.stanford.edu/knowledgebase/synsets/ski.n.01/index.html
snowboard,a board that resembles a broad ski or a small surfboard and is used in a standing position to slide down snow-covered slopes,,,,,-
sports ball,round object that is hit or thrown or kicked in games,,,,,https://behavior.stanford.edu/knowledgebase/synsets/ball.n.01/index.html
kite,plaything consisting of a light frame covered with tissue paper that is flown in wind at end of a string,,,,,-
baseball bat,an implement used in baseball by the batter,,,,,https://behavior.stanford.edu/knowledgebase/synsets/baseball_bat.n.01/index.html
baseball glove,the handwear used by fielders in playing baseball,,,,,https://behavior.stanford.edu/knowledgebase/synsets/baseball_glove.n.01/index.html
skateboard,a board with wheels that is ridden in a standing or crouching position and propelled by foot,,,,,https://behavior.stanford.edu/knowledgebase/synsets/skateboard.n.01/
surfboard,a narrow buoyant board for riding surf,,,,,-
tennis racket,a racket used to play tennis,,,,,https://behavior.stanford.edu/knowledgebase/synsets/tennis_racket.n.01/index.html
bottle,a glass or plastic vessel used for storing drinks or other liquids,,,,,https://behavior.stanford.edu/knowledgebase/synsets/bottle__of__water.n.01/index.html
wine glass,a glass that has a stem and in which wine is served,,,,,https://behavior.stanford.edu/knowledgebase/synsets/wineglass.n.01/index.html
