emotion,emotion_label,def_APA,def_Cambridge,def_SentiWordNet,domain,domain_label,dimension,dim_label,dim_definition,dim_range
http://example.org/emotions.owl#Acceptance,acceptance,"a favorable attitude toward an idea, situation, person, or group. In the context of psychotherapy and counseling, it is the receptive, nonjudgmental attitude of therapists or counselors, which conveys an implicit respect and regard for their clients as individuals.","general agreement that something is satisfactory or right, or that someone should be included in a group","a disposition to tolerate or accept people or situations; \""all people should practice toleration and live together in peace\""\n",http://example.org/conceptual_spaces.owl#circumplex,circumplex,http://example.org/conceptual_spaces.owl#circumplex_arousal,arousal,amount of physiological change in the person's body,"[0, 1]"
http://example.org/emotions.owl#Acceptance,acceptance,"a favorable attitude toward an idea, situation, person, or group. In the context of psychotherapy and counseling, it is the receptive, nonjudgmental attitude of therapists or counselors, which conveys an implicit respect and regard for their clients as individuals.","general agreement that something is satisfactory or right, or that someone should be included in a group","a disposition to tolerate or accept people or situations; \""all people should practice toleration and live together in peace\""\n",http://example.org/conceptual_spaces.owl#circumplex,circumplex,http://example.org/conceptual_spaces.owl#circumplex_valence,valence,degree of pleasantness or unpleasantness of an emotion,"[-1, 1]"
http://example.org/emotions.owl#Acceptance,acceptance,"a favorable attitude toward an idea, situation, person, or group. In the context of psychotherapy and counseling, it is the receptive, nonjudgmental attitude of therapists or counselors, which conveys an implicit respect and regard for their clients as individuals.","general agreement that something is satisfactory or right, or that someone should be included in a group","a disposition to tolerate or accept people or situations; \""all people should practice toleration and live together in peace\""\n",http://example.org/conceptual_spaces.owl#Fontaine,fontaine,http://example.org/conceptual_spaces.owl#Fontaine_activity,activity,amount of physiological change in the person's body,"[0, 1]"
http://example.org/emotions.owl#Acceptance,acceptance,"a favorable attitude toward an idea, situation, person, or group. In the context of psychotherapy and counseling, it is the receptive, nonjudgmental attitude of therapists or counselors, which conveys an implicit respect and regard for their clients as individuals.","general agreement that something is satisfactory or right, or that someone should be included in a group","a disposition to tolerate or accept people or situations; \""all people should practice toleration and live together in peace\""\n",http://example.org/conceptual_spaces.owl#Fontaine,fontaine,http://example.org/conceptual_spaces.owl#Fontaine_evaluation,evaluation,degree of pleasantness or unpleasantness of an emotion,"[-1, 1]"
http://example.org/emotions.owl#Acceptance,acceptance,"a favorable attitude toward an idea, situation, person, or group. In the context of psychotherapy and counseling, it is the receptive, nonjudgmental attitude of therapists or counselors, which conveys an implicit respect and regard for their clients as individuals.","general agreement that something is satisfactory or right, or that someone should be included in a group","a disposition to tolerate or accept people or situations; \""all people should practice toleration and live together in peace\""\n",http://example.org/conceptual_spaces.owl#Fontaine,fontaine,http://example.org/conceptual_spaces.owl#Fontaine_potency,potency,"the perceived strength, dominance, or control inherent in an emotion.","[0, 1]"
http://example.org/emotions.owl#Acceptance,acceptance,"a favorable attitude toward an idea, situation, person, or group. In the context of psychotherapy and counseling, it is the receptive, nonjudgmental attitude of therapists or counselors, which conveys an implicit respect and regard for their clients as individuals.","general agreement that something is satisfactory or right, or that someone should be included in a group","a disposition to tolerate or accept people or situations; \""all people should practice toleration and live together in peace\""\n",http://example.org/conceptual_spaces.owl#Fontaine,fontaine,http://example.org/conceptual_spaces.owl#Fontaine_unpredictability,unpredictability,a person's reaction to a stimulus based on their familiarity with the situation,"[0, 1]"
http://example.org/emotions.owl#Acceptance,acceptance,"a favorable attitude toward an idea, situation, person, or group. In the context of psychotherapy and counseling, it is the receptive, nonjudgmental attitude of therapists or counselors, which conveys an implicit respect and regard for their clients as individuals.","general agreement that something is satisfactory or right, or that someone should be included in a group","a disposition to tolerate or accept people or situations; \""all people should practice toleration and live together in peace\""\n",http://example.org/conceptual_spaces.owl#Osgood,osgood,http://example.org/conceptual_spaces.owl#Osgood_activity,activity,amount of physiological change in the person's body,"[0, 1]"
http://example.org/emotions.owl#Acceptance,acceptance,"a favorable attitude toward an idea, situation, person, or group. In the context of psychotherapy and counseling, it is the receptive, nonjudgmental attitude of therapists or counselors, which conveys an implicit respect and regard for their clients as individuals.","general agreement that something is satisfactory or right, or that someone should be included in a group","a disposition to tolerate or accept people or situations; \""all people should practice toleration and live together in peace\""\n",http://example.org/conceptual_spaces.owl#Osgood,osgood,http://example.org/conceptual_spaces.owl#Osgood_evaluation,evaluation,degree of pleasantness or unpleasantness of an emotion,"[-1, 1]"
http://example.org/emotions.owl#Acceptance,acceptance,"a favorable attitude toward an idea, situation, person, or group. In the context of psychotherapy and counseling, it is the receptive, nonjudgmental attitude of therapists or counselors, which conveys an implicit respect and regard for their clients as individuals.","general agreement that something is satisfactory or right, or that someone should be included in a group","a disposition to tolerate or accept people or situations; \""all people should practice toleration and live together in peace\""\n",http://example.org/conceptual_spaces.owl#Osgood,osgood,http://example.org/conceptual_spaces.owl#Osgood_potency,potency,"the perceived strength, dominance, or control inherent in an emotion.","[0, 1]"
http://example.org/emotions.owl#Acceptance,acceptance,"a favorable attitude toward an idea, situation, person, or group. In the context of psychotherapy and counseling, it is the receptive, nonjudgmental attitude of therapists or counselors, which conveys an implicit respect and regard for their clients as individuals.","general agreement that something is satisfactory or right, or that someone should be included in a group","a disposition to tolerate or accept people or situations; \""all people should practice toleration and live together in peace\""\n",http://example.org/conceptual_spaces.owl#PAD,pad,http://example.org/conceptual_spaces.owl#PAD_arousal,arousal,amount of physiological change in the person's body,"[0, 1]"
